Folder,Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
gassnb,4,4,0,19,0,1,0,6
gassnb,4,5,0,19,0,1,0,6
gassnb,4,6,0,19,0,1,0,6
gassnb,4,7,0,19,0,1,0,6
gassnb,4,8,16,3,0,1,0,6
gassnb,4,9,16,3,0,1,0,6
gassnb,4,10,16,3,0,1,0,6
svm,1,1,0,35,5,0,1,0
svm,1,2,0,36,5,0,0,0
svm,1,3,18,20,2,0,1,0
svm,1,4,19,20,1,0,1,0
svm,1,5,19,20,1,0,1,0
svm,1,6,19,20,1,0,1,0
svm,1,7,23,16,1,0,1,0
svm,1,8,26,13,1,0,1,0
svm,1,9,26,13,1,0,1,0
svm,1,10,26,13,1,0,1,0
svm,2,1,0,35,6,0,0,0
svm,2,2,0,36,5,0,0,0
svm,2,3,18,20,2,0,0,1
svm,2,4,19,20,1,0,0,1
svm,2,5,19,20,1,0,0,1
svm,2,6,19,20,1,0,0,1
svm,2,7,23,16,1,0,0,1
svm,2,8,26,13,1,0,0,1
svm,2,9,26,13,1,0,0,1
svm,2,10,26,13,1,0,0,1
svm,3,1,0,19,0,3,19,0
svm,3,2,0,21,0,8,12,0
svm,3,3,18,11,0,1,11,0
svm,3,4,19,11,0,1,10,0
svm,3,5,19,11,0,1,10,0
svm,3,6,19,11,0,1,10,0
svm,3,7,23,7,0,1,10,0
svm,3,8,26,4,0,1,10,0
svm,3,9,26,4,0,1,10,0
svm,3,10,26,4,0,1,10,0
svm,4,1,0,19,0,10,0,12
svm,4,2,0,21,0,9,0,11
svm,4,3,18,11,0,2,0,10
svm,4,4,19,11,0,1,0,10
svm,4,5,19,11,0,1,0,10
svm,4,6,19,11,0,1,0,10
svm,4,7,23,7,0,1,0,10
svm,4,8,26,4,0,1,0,10
svm,4,9,26,4,0,1,0,10
svm,4,10,26,4,0,1,0,10
gmres,1,1,63,34,2,0,2,0
gmres,1,2,64,31,2,0,4,0
gmres,1,3,64,31,2,0,4,0
gmres,1,4,64,31,2,0,4,0
gmres,1,5,64,31,2,0,4,0
gmres,1,6,64,31,2,0,4,0
gmres,1,7,64,31,2,0,4,0
gmres,1,8,64,31,2,0,4,0
gmres,1,9,64,31,2,0,4,0
gmres,1,10,64,31,2,0,4,0
gmres,2,1,63,34,2,0,0,2
gmres,2,2,64,31,0,0,0,6
gmres,2,3,64,31,0,0,0,6
gmres,2,4,64,31,0,0,0,6
gmres,2,5,64,31,0,0,0,6
gmres,2,6,64,31,0,0,0,6
gmres,2,7,64,31,0,0,0,6
gmres,2,8,64,31,0,0,0,6
gmres,2,9,64,31,0,0,0,6
gmres,2,10,64,31,0,0,0,6
gmres,3,1,63,16,0,11,11,0
gmres,3,2,64,13,0,7,17,0
gmres,3,3,64,13,0,7,17,0
gmres,3,4,64,13,0,7,17,0
gmres,3,5,64,13,0,7,17,0
gmres,3,6,64,13,0,7,17,0
gmres,3,7,64,13,0,7,17,0
gmres,3,8,64,13,0,7,17,0
gmres,3,9,64,13,0,7,17,0
gmres,3,10,64,13,0,7,17,0
gmres,4,1,63,16,0,6,0,16
gmres,4,2,64,13,0,2,0,22
gmres,4,3,64,13,0,2,0,22
gmres,4,4,64,13,0,2,0,22
gmres,4,5,64,13,0,2,0,22
gmres,4,6,64,13,0,2,0,22
gmres,4,7,64,13,0,2,0,22
gmres,4,8,64,13,0,2,0,22
gmres,4,9,64,13,0,2,0,22
gmres,4,10,64,13,0,2,0,22
cg,1,1,44,22,0,0,0,0
cg,1,2,44,22,0,0,0,0
cg,1,3,44,22,0,0,0,0
cg,1,4,44,22,0,0,0,0
cg,1,5,45,21,0,0,0,0
cg,1,6,56,10,0,0,0,0
cg,1,7,56,10,0,0,0,0
cg,1,8,56,10,0,0,0,0
cg,1,9,56,10,0,0,0,0
cg,1,10,56,10,0,0,0,0
cg,2,1,44,22,0,0,0,0
cg,2,2,44,22,0,0,0,0
cg,2,3,44,22,0,0,0,0
cg,2,4,44,22,0,0,0,0
cg,2,5,45,21,0,0,0,0
cg,2,6,56,10,0,0,0,0
cg,2,7,56,10,0,0,0,0
cg,2,8,56,10,0,0,0,0
cg,2,9,56,10,0,0,0,0
cg,2,10,56,10,0,0,0,0
cg,3,1,44,6,0,16,0,0
cg,3,2,44,6,0,16,0,0
cg,3,3,44,8,0,14,0,0
cg,3,4,44,13,0,9,0,0
cg,3,5,45,12,0,9,0,0
cg,3,6,56,1,0,9,0,0
cg,3,7,56,1,0,9,0,0
cg,3,8,56,1,0,9,0,0
cg,3,9,56,1,0,9,0,0
cg,3,10,56,1,0,9,0,0
cg,4,1,44,6,0,16,0,0
cg,4,2,44,6,0,16,0,0
cg,4,3,44,8,0,14,0,0
cg,4,4,44,13,0,9,0,0
cg,4,5,45,12,0,9,0,0
cg,4,6,56,1,0,9,0,0
cg,4,7,56,1,0,9,0,0
cg,4,8,56,1,0,9,0,0
cg,4,9,56,1,0,9,0,0
cg,4,10,56,1,0,9,0,0
bicgstab,1,1,88,19,0,0,7,0
bicgstab,1,2,88,19,2,0,5,0
bicgstab,1,3,88,19,2,0,5,0
bicgstab,1,4,88,19,2,0,5,0
bicgstab,1,5,88,19,2,0,5,0
bicgstab,1,6,88,23,0,0,3,0
bicgstab,1,7,89,22,0,0,3,0
bicgstab,1,8,95,16,0,0,3,0
bicgstab,1,9,97,14,0,0,3,0
bicgstab,1,10,97,14,0,0,3,0
bicgstab,2,1,88,19,0,0,0,7
bicgstab,2,2,88,19,0,0,0,7
bicgstab,2,3,88,19,0,0,0,7
bicgstab,2,4,88,19,0,0,0,7
bicgstab,2,5,88,19,0,0,0,7
bicgstab,2,6,88,23,0,0,0,3
bicgstab,2,7,89,22,0,0,0,3
bicgstab,2,8,95,16,0,0,0,3
bicgstab,2,9,97,14,0,0,0,3
bicgstab,2,10,97,14,0,0,0,3
bicgstab,3,1,88,2,0,7,17,0
bicgstab,3,2,88,2,0,7,17,0
bicgstab,3,3,88,2,0,7,17,0
bicgstab,3,4,88,2,0,7,17,0
bicgstab,3,5,88,2,0,7,17,0
bicgstab,3,6,88,6,0,6,14,0
bicgstab,3,7,89,9,0,2,14,0
bicgstab,3,8,95,4,0,1,14,0
bicgstab,3,9,97,2,0,1,14,0
bicgstab,3,10,97,3,0,0,14,0
bicgstab,4,1,88,2,0,0,0,24
bicgstab,4,2,88,2,0,0,0,24
bicgstab,4,3,88,2,0,0,0,24
bicgstab,4,4,88,2,0,0,0,24
bicgstab,4,5,88,2,0,0,0,24
bicgstab,4,6,88,6,0,4,0,16
bicgstab,4,7,89,9,0,2,0,14
bicgstab,4,8,95,4,0,1,0,14
bicgstab,4,9,97,2,0,1,0,14
bicgstab,4,10,97,3,0,0,0,14
sor,1,1,0,46,4,0,3,0
sor,1,2,0,50,0,0,3,0
sor,1,3,0,50,0,0,3,0
sor,1,4,0,50,0,0,3,0
sor,1,5,31,19,0,0,3,0
sor,1,6,36,14,0,0,3,0
sor,1,7,36,14,0,0,3,0
sor,1,8,36,14,0,0,3,0
sor,1,9,36,14,0,0,3,0
sor,1,10,38,12,0,0,3,0
sor,2,1,0,46,4,0,0,3
sor,2,2,0,50,0,0,0,3
sor,2,3,0,50,0,0,0,3
sor,2,4,0,50,0,0,0,3
sor,2,5,31,19,0,0,0,3
sor,2,6,36,14,0,0,0,3
sor,2,7,36,14,0,0,0,3
sor,2,8,36,14,0,0,0,3
sor,2,9,36,14,0,0,0,3
sor,2,10,38,12,0,0,0,3
sor,3,1,0,39,0,0,14,0
sor,3,2,0,39,0,0,14,0
sor,3,3,0,39,0,0,14,0
sor,3,4,0,40,0,4,9,0
sor,3,5,31,9,0,6,7,0
sor,3,6,36,6,0,4,7,0
sor,3,7,36,6,0,4,7,0
sor,3,8,36,6,0,4,7,0
sor,3,9,36,6,0,4,7,0
sor,3,10,38,4,0,4,7,0
sor,4,1,0,39,0,0,0,14
sor,4,2,0,39,0,0,0,14
sor,4,3,0,39,0,0,0,14
sor,4,4,0,40,0,1,0,12
sor,4,5,31,9,0,3,0,10
sor,4,6,36,6,0,1,0,10
sor,4,7,36,6,0,1,0,10
sor,4,8,36,6,0,1,0,10
sor,4,9,36,6,0,1,0,10
sor,4,10,38,4,0,1,0,10
jacobi,1,1,23,14,6,0,5,0
jacobi,1,2,23,20,0,0,5,0
jacobi,1,3,23,20,0,0,5,0
jacobi,1,4,23,20,0,0,5,0
jacobi,1,5,23,20,0,0,5,0
jacobi,1,6,32,11,0,0,5,0
jacobi,1,7,32,11,0,0,5,0
jacobi,1,8,32,11,0,0,5,0
jacobi,1,9,32,11,0,0,5,0
jacobi,1,10,32,11,0,0,5,0
jacobi,2,1,23,14,6,0,0,5
jacobi,2,2,23,20,0,0,0,5
jacobi,2,3,23,20,0,0,0,5
jacobi,2,4,23,20,0,0,0,5
jacobi,2,5,23,20,0,0,0,5
jacobi,2,6,32,11,0,0,0,5
jacobi,2,7,32,11,0,0,0,5
jacobi,2,8,32,11,0,0,0,5
jacobi,2,9,32,11,0,0,0,5
jacobi,2,10,32,11,0,0,0,5
jacobi,3,1,23,12,0,0,13,0
jacobi,3,2,23,12,0,0,13,0
jacobi,3,3,23,12,0,0,13,0
jacobi,3,4,23,13,0,4,8,0
jacobi,3,5,23,13,0,4,8,0
jacobi,3,6,32,4,0,4,8,0
jacobi,3,7,32,4,0,4,8,0
jacobi,3,8,32,4,0,4,8,0
jacobi,3,9,32,4,0,4,8,0
jacobi,3,10,32,4,0,4,8,0
jacobi,4,1,23,12,0,0,0,13
jacobi,4,2,23,12,0,0,0,13
jacobi,4,3,23,12,0,0,0,13
jacobi,4,4,23,13,0,2,0,10
jacobi,4,5,23,13,0,2,0,10
jacobi,4,6,32,4,0,2,0,10
jacobi,4,7,32,4,0,2,0,10
jacobi,4,8,32,4,0,2,0,10
jacobi,4,9,32,4,0,2,0,10
jacobi,4,10,32,4,0,2,0,10
multigrid,1,1,0,45,0,0,2,0
multigrid,1,2,0,45,2,0,0,0
multigrid,1,3,0,45,2,0,0,0
multigrid,1,4,0,47,0,0,0,0
multigrid,1,5,0,47,0,0,0,0
multigrid,1,6,0,47,0,0,0,0
multigrid,1,7,32,15,0,0,0,0
multigrid,1,8,36,11,0,0,0,0
multigrid,1,9,36,11,0,0,0,0
multigrid,1,10,36,11,0,0,0,0
multigrid,2,1,0,45,2,0,0,0
multigrid,2,2,0,45,2,0,0,0
multigrid,2,3,0,45,2,0,0,0
multigrid,2,4,0,47,0,0,0,0
multigrid,2,5,0,47,0,0,0,0
multigrid,2,6,0,47,0,0,0,0
multigrid,2,7,32,15,0,0,0,0
multigrid,2,8,36,11,0,0,0,0
multigrid,2,9,36,11,0,0,0,0
multigrid,2,10,36,11,0,0,0,0
multigrid,3,1,0,32,0,1,14,0
multigrid,3,2,0,32,0,5,10,0
multigrid,3,3,0,37,0,0,10,0
multigrid,3,4,0,37,0,0,10,0
multigrid,3,5,0,37,0,0,10,0
multigrid,3,6,0,37,0,5,5,0
multigrid,3,7,32,5,0,5,5,0
multigrid,3,8,36,1,0,5,5,0
multigrid,3,9,36,1,0,5,5,0
multigrid,3,10,36,1,0,5,5,0
multigrid,4,1,0,32,0,4,0,11
multigrid,4,2,0,32,0,5,0,10
multigrid,4,3,0,37,0,0,0,10
multigrid,4,4,0,37,0,0,0,10
multigrid,4,5,0,37,0,0,0,10
multigrid,4,6,0,37,0,2,0,8
multigrid,4,7,32,5,0,2,0,8
multigrid,4,8,36,1,0,2,0,8
multigrid,4,9,36,1,0,2,0,8
multigrid,4,10,36,1,0,2,0,8
gauss_seidel,1,1,0,34,0,0,0,0
gauss_seidel,1,2,0,34,0,0,0,0
gauss_seidel,1,3,22,12,0,0,0,0
gauss_seidel,1,4,22,12,0,0,0,0
gauss_seidel,1,5,25,9,0,0,0,0
gauss_seidel,1,6,25,9,0,0,0,0
gauss_seidel,1,7,25,9,0,0,0,0
gauss_seidel,1,8,25,9,0,0,0,0
gauss_seidel,1,9,25,9,0,0,0,0
gauss_seidel,1,10,25,9,0,0,0,0
gauss_seidel,2,1,0,34,0,0,0,0
gauss_seidel,2,2,0,34,0,0,0,0
gauss_seidel,2,3,22,12,0,0,0,0
gauss_seidel,2,4,22,12,0,0,0,0
gauss_seidel,2,5,25,9,0,0,0,0
gauss_seidel,2,6,25,9,0,0,0,0
gauss_seidel,2,7,25,9,0,0,0,0
gauss_seidel,2,8,25,9,0,0,0,0
gauss_seidel,2,9,25,9,0,0,0,0
gauss_seidel,2,10,25,9,0,0,0,0
gauss_seidel,3,1,0,26,0,0,8,0
gauss_seidel,3,2,0,26,0,5,3,0
gauss_seidel,3,3,22,5,0,4,3,0
gauss_seidel,3,4,22,5,0,4,3,0
gauss_seidel,3,5,25,2,0,4,3,0
gauss_seidel,3,6,25,2,0,4,3,0
gauss_seidel,3,7,25,2,0,4,3,0
gauss_seidel,3,8,25,2,0,4,3,0
gauss_seidel,3,9,25,2,0,4,3,0
gauss_seidel,3,10,25,2,0,4,3,0
gauss_seidel,4,1,0,26,0,0,0,8
gauss_seidel,4,2,0,26,0,2,0,6
gauss_seidel,4,3,22,5,0,1,0,6
gauss_seidel,4,4,22,5,0,1,0,6
gauss_seidel,4,5,25,2,0,1,0,6
gauss_seidel,4,6,25,2,0,1,0,6
gauss_seidel,4,7,25,2,0,1,0,6
gauss_seidel,4,8,25,2,0,1,0,6
gauss_seidel,4,9,25,2,0,1,0,6
gauss_seidel,4,10,25,2,0,1,0,6
pca,1,1,0,44,2,0,3,0
pca,1,2,0,44,2,0,3,0
pca,1,3,0,44,2,0,3,0
pca,1,4,0,44,2,0,3,0
pca,1,5,0,44,2,0,3,0
pca,1,6,27,17,2,0,3,0
pca,1,7,27,17,2,0,3,0
pca,1,8,27,17,2,0,3,0
pca,1,9,27,17,2,0,3,0
pca,1,10,27,17,2,0,3,0
pca,2,1,0,44,2,0,0,3
pca,2,2,0,44,2,0,0,3
pca,2,3,0,44,2,0,0,3
pca,2,4,0,44,2,0,0,3
pca,2,5,0,44,2,0,0,3
pca,2,6,27,17,2,0,0,3
pca,2,7,27,17,2,0,0,3
pca,2,8,27,17,2,0,0,3
pca,2,9,27,17,2,0,0,3
pca,2,10,27,17,2,0,0,3
pca,3,1,0,32,0,0,17,0
pca,3,2,0,32,0,0,17,0
pca,3,3,0,32,0,0,17,0
pca,3,4,0,32,0,0,17,0
pca,3,5,0,32,0,0,17,0
pca,3,6,27,5,0,0,17,0
pca,3,7,27,5,0,0,17,0
pca,3,8,27,5,0,0,17,0
pca,3,9,27,5,0,0,17,0
pca,3,10,27,5,0,0,17,0
pca,4,1,0,32,0,0,0,17
pca,4,2,0,32,0,0,0,17
pca,4,3,0,32,0,0,0,17
pca,4,4,0,32,0,0,0,17
pca,4,5,0,32,0,0,0,17
pca,4,6,27,5,0,0,0,17
pca,4,7,27,5,0,0,0,17
pca,4,8,27,5,0,0,0,17
pca,4,9,27,5,0,0,0,17
pca,4,10,27,5,0,0,0,17
srad_v2,1,1,8,2,0,0,1,0
srad_v2,1,2,9,1,0,0,1,0
srad_v2,1,3,10,0,0,0,1,0
srad_v2,1,4,10,0,0,0,1,0
srad_v2,1,5,10,0,0,0,1,0
srad_v2,1,6,10,0,0,0,1,0
srad_v2,1,7,10,0,0,0,1,0
srad_v2,1,8,0,0,0,0,0,0
srad_v2,1,9,0,0,0,0,0,0
srad_v2,1,10,0,0,0,0,0,0
srad_v2,2,1,8,2,0,0,0,1
srad_v2,2,2,9,1,0,0,0,1
srad_v2,2,3,10,0,0,0,0,1
srad_v2,2,4,10,0,0,0,0,1
srad_v2,2,5,10,0,0,0,0,1
srad_v2,2,6,10,0,0,0,0,1
srad_v2,2,7,10,0,0,0,0,1
srad_v2,2,8,0,0,0,0,0,0
srad_v2,2,9,0,0,0,0,0,0
srad_v2,2,10,0,0,0,0,0,0
srad_v2,3,1,8,2,0,0,1,0
srad_v2,3,2,9,1,0,0,1,0
srad_v2,3,3,10,0,0,0,1,0
srad_v2,3,4,10,0,0,0,1,0
srad_v2,3,5,10,0,0,0,1,0
srad_v2,3,6,10,0,0,0,1,0
srad_v2,3,7,10,0,0,0,1,0
srad_v2,3,8,0,0,0,0,0,0
srad_v2,3,9,0,0,0,0,0,0
srad_v2,3,10,0,0,0,0,0,0
srad_v2,4,1,8,2,0,0,0,1
srad_v2,4,2,9,1,0,0,0,1
srad_v2,4,3,10,0,0,0,0,1
srad_v2,4,4,10,0,0,0,0,1
srad_v2,4,5,10,0,0,0,0,1
srad_v2,4,6,10,0,0,0,0,1
srad_v2,4,7,10,0,0,0,0,1
srad_v2,4,8,0,0,0,0,0,0
srad_v2,4,9,0,0,0,0,0,0
srad_v2,4,10,0,0,0,0,0,0
hotspot,1,1,13,17,0,0,1,0
hotspot,1,2,13,17,0,0,1,0
hotspot,1,3,13,17,0,0,1,0
hotspot,1,4,13,17,0,0,1,0
hotspot,1,5,13,17,0,0,1,0
hotspot,1,6,13,17,0,0,1,0
hotspot,1,7,13,17,1,0,0,0
hotspot,1,8,13,17,1,0,0,0
hotspot,1,9,13,17,1,0,0,0
hotspot,1,10,13,18,0,0,0,0
hotspot,2,1,13,17,0,0,0,1
hotspot,2,2,13,17,0,0,0,1
hotspot,2,3,13,17,0,0,0,1
hotspot,2,4,13,17,0,0,0,1
hotspot,2,5,13,17,0,0,0,1
hotspot,2,6,13,17,0,0,0,1
hotspot,2,7,13,17,0,0,0,1
hotspot,2,8,13,17,1,0,0,0
hotspot,2,9,13,17,1,0,0,0
hotspot,2,10,13,18,0,0,0,0
hotspot,3,1,13,0,0,3,15,0
hotspot,3,2,13,0,0,3,15,0
hotspot,3,3,13,0,0,3,15,0
hotspot,3,4,13,0,0,3,15,0
hotspot,3,5,13,0,0,3,15,0
hotspot,3,6,13,0,0,3,15,0
hotspot,3,7,13,0,0,11,7,0
hotspot,3,8,13,0,0,11,7,0
hotspot,3,9,13,1,0,10,7,0
hotspot,3,10,13,4,0,11,3,0
hotspot,4,1,13,0,0,1,0,17
hotspot,4,2,13,0,0,1,0,17
hotspot,4,3,13,0,0,1,0,17
hotspot,4,4,13,0,0,1,0,17
hotspot,4,5,13,0,0,1,0,17
hotspot,4,6,13,0,0,1,0,17
hotspot,4,7,13,0,0,2,0,16
hotspot,4,8,13,0,0,3,0,15
hotspot,4,9,13,1,0,2,0,15
hotspot,4,10,13,4,0,10,0,4
backprop,1,1,6,10,0,0,0,0
backprop,1,2,6,10,0,0,0,0
backprop,1,3,6,10,0,0,0,0
backprop,1,4,6,10,0,0,0,0
backprop,1,5,6,10,0,0,0,0
backprop,1,6,6,10,0,0,0,0
backprop,1,7,0,0,0,0,0,0
backprop,1,8,0,0,0,0,0,0
backprop,1,9,0,0,0,0,0,0
backprop,1,10,0,0,0,0,0,0
backprop,2,1,6,10,0,0,0,0
backprop,2,2,6,10,0,0,0,0
backprop,2,3,6,10,0,0,0,0
backprop,2,4,6,10,0,0,0,0
backprop,2,5,6,10,0,0,0,0
backprop,2,6,6,10,0,0,0,0
backprop,2,7,0,0,0,0,0,0
backprop,2,8,0,0,0,0,0,0
backprop,2,9,0,0,0,0,0,0
backprop,2,10,0,0,0,0,0,0
backprop,3,1,6,2,0,0,8,0
backprop,3,2,6,2,0,2,6,0
backprop,3,3,6,5,0,1,4,0
backprop,3,4,6,6,0,0,4,0
backprop,3,5,6,6,0,0,4,0
backprop,3,6,6,6,0,0,4,0
backprop,3,7,0,0,0,0,0,0
backprop,3,8,0,0,0,0,0,0
backprop,3,9,0,0,0,0,0,0
backprop,3,10,0,0,0,0,0,0
backprop,4,1,6,2,0,0,0,8
backprop,4,2,6,2,0,4,0,4
backprop,4,3,6,5,0,1,0,4
backprop,4,4,6,6,0,0,0,4
backprop,4,5,6,6,0,0,0,4
backprop,4,6,6,6,0,0,0,4
backprop,4,7,0,0,0,0,0,0
backprop,4,8,0,0,0,0,0,0
backprop,4,9,0,0,0,0,0,0
backprop,4,10,0,0,0,0,0,0
adaboost,1,1,7,62,3,0,18,0
adaboost,1,2,7,62,3,0,18,0
adaboost,1,3,7,62,3,0,18,0
adaboost,1,4,7,62,3,0,18,0
adaboost,1,5,7,62,3,0,18,0
adaboost,1,6,7,62,3,0,18,0
adaboost,1,7,7,62,3,0,18,0
adaboost,1,8,7,62,3,0,18,0
adaboost,1,9,13,56,3,0,18,0
adaboost,1,10,20,49,3,0,18,0
adaboost,2,1,7,62,3,0,0,18
adaboost,2,2,7,62,3,0,0,18
adaboost,2,3,7,62,3,0,0,18
adaboost,2,4,7,62,3,0,0,18
adaboost,2,5,7,62,3,0,0,18
adaboost,2,6,7,62,3,0,0,18
adaboost,2,7,7,62,3,0,0,18
adaboost,2,8,7,62,3,0,0,18
adaboost,2,9,13,56,3,0,0,18
adaboost,2,10,20,49,3,0,0,18
adaboost,3,1,7,14,0,4,65,0
adaboost,3,2,7,14,0,6,63,0
adaboost,3,3,7,18,0,5,60,0
adaboost,3,4,7,18,0,5,60,0
adaboost,3,5,7,20,0,1,62,0
adaboost,3,6,7,20,0,1,62,0
adaboost,3,7,7,20,0,1,62,0
adaboost,3,8,7,20,0,1,62,0
adaboost,3,9,13,13,0,1,63,0
adaboost,3,10,20,11,0,1,58,0
adaboost,4,1,7,14,0,2,0,67
adaboost,4,2,7,14,0,5,0,64
adaboost,4,3,7,18,0,4,0,61
adaboost,4,4,7,18,0,4,0,61
adaboost,4,5,7,20,0,0,0,63
adaboost,4,6,7,20,0,0,0,63
adaboost,4,7,7,20,0,0,0,63
adaboost,4,8,7,20,0,0,0,63
adaboost,4,9,13,13,0,0,0,64
adaboost,4,10,20,11,0,0,0,59
ir3,1,1,0,95,1,0,0,0
ir3,1,2,0,95,1,0,0,0
ir3,1,3,0,95,1,0,0,0
ir3,1,4,0,95,1,0,0,0
ir3,1,5,0,95,1,0,0,0
ir3,1,6,0,95,1,0,0,0
ir3,1,7,73,22,1,0,0,0
ir3,1,8,73,22,1,0,0,0
ir3,1,9,73,22,1,0,0,0
ir3,1,10,73,22,1,0,0,0
ir3,2,1,0,95,0,0,0,1
ir3,2,2,0,95,0,0,0,1
ir3,2,3,0,95,0,0,0,1
ir3,2,4,0,95,0,0,0,1
ir3,2,5,0,95,0,0,0,1
ir3,2,6,0,95,0,0,0,1
ir3,2,7,73,22,0,0,0,1
ir3,2,8,73,22,0,0,0,1
ir3,2,9,73,22,0,0,0,1
ir3,2,10,73,22,0,0,0,1
ir3,3,1,0,78,0,5,13,0
ir3,3,2,0,78,0,5,13,0
ir3,3,3,0,78,0,6,12,0
ir3,3,4,0,78,0,7,11,0
ir3,3,5,0,79,0,4,13,0
ir3,3,6,0,79,0,4,13,0
ir3,3,7,73,10,0,2,11,0
ir3,3,8,73,10,0,2,11,0
ir3,3,9,73,10,0,2,11,0
ir3,3,10,73,10,0,2,11,0
ir3,4,1,0,78,0,1,0,17
ir3,4,2,0,78,0,1,0,17
ir3,4,3,0,78,0,2,0,16
