,feature1,feature2,true_label,cluster
132,0.377084,-0.830244,0,1
133,0.0723279,-1.39195,1,0
134,1.35104,-0.674182,1,0
135,-1.17858,-0.504799,0,1
136,0.471776,-1.12186,0,1
137,-0.779089,-0.43088,0,1
138,-0.345583,-0.344141,0,1
139,0.035136,-1.44121,1,0
140,-0.000961527,-0.386607,0,1
141,0.664369,-1.42261,1,0
142,-0.0737224,-0.323313,0,1
143,1.37858,-0.874916,1,0
144,0.13114,-0.52765,0,1
145,-1.00736,-0.47264,0,1
146,1.12332,-1.40059,1,0
147,-1.18889,-0.781847,0,1
148,0.000440669,-1.39796,1,0
149,-0.307876,-0.308274,0,1
150,-0.323043,-0.768658,1,0
151,1.3829,-1.14649,1,0
152,0.62024,-1.44675,1,0
153,-0.236733,-1.37206,1,0
154,1.4191,-0.795076,1,0
155,-0.919294,-0.350549,0,1
156,1.25764,-0.869983,1,0
157,0.623536,-1.46202,1,0
158,0.144581,-0.600619,0,1
159,-0.451469,-0.316264,0,1
160,0.462675,-1.02921,0,1
161,-0.428192,-0.303203,0,1
162,-0.302253,-0.267194,0,1
163,0.0460352,-1.42305,1,0
164,1.19662,-0.926354,1,0
165,0.301961,-0.772366,0,1
166,0.386734,-0.73367,0,1
167,1.27727,-0.794512,1,0
168,0.152287,-1.4308,1,0
169,-0.100063,-1.27732,1,0
170,-0.404489,-0.449927,0,1
171,0.0512401,-0.284893,0,1
172,0.447484,-1.4693,1,0
173,-0.924177,-0.386365,0,1
174,-1.21554,-0.95646,0,1
175,0.349759,-0.602881,0,1
176,-0.00814756,-0.498991,0,1
177,0.459036,-1.47087,1,0
178,-1.1802,-0.847171,0,1
179,-0.833094,-0.361032,0,1
180,0.968482,-1.29856,1,0
181,-0.0312815,-0.399002,0,1
182,-0.912585,-0.708193,0,1
183,0.117448,-0.563448,0,1
184,0.395076,-1.03643,0,1
185,0.991962,-1.20332,1,0
186,-0.423743,-0.902974,1,0
187,-0.0210625,-1.43198,1,0
188,-0.327181,-0.251489,0,1
189,0.137939,-1.60404,1,0
190,1.21983,-1.20805,1,0
191,-1.18193,-0.515804,0,1
192,-0.266077,-1.1218,1,0
193,1.15136,-1.31656,1,0
194,0.988474,-1.13472,1,0
195,-0.250431,-1.35195,1,0
196,0.186184,-0.472018,0,1
197,-0.197594,-1.13712,1,0
198,-0.126583,-0.387397,0,1
199,-0.373849,-0.818877,1,0
200,-0.601587,-0.26947,0,1
201,-0.170785,-1.34667,1,0
202,-1.14019,-0.684479,0,1
203,-0.713397,-0.361895,0,1
204,-0.79057,-0.353756,0,1
205,0.682497,-1.44944,1,0
206,-0.204086,-1.23903,1,0
207,0.0786273,-0.643076,0,1
208,-1.3995,-0.888018,0,1
209,-0.382475,-0.263339,0,1
210,-0.373264,-1.03635,1,0
211,0.475281,-0.937937,0,1
212,0.645663,-1.42148,1,0
213,-0.498923,-0.754048,1,0
214,1.24479,-0.973095,1,0
215,-0.123465,-0.470653,0,1
216,-0.294891,-0.415761,0,1
217,0.751119,-1.38669,1,0
218,-0.727842,-0.405554,0,1
219,1.23232,-1.09512,1,0
220,0.169846,-0.669526,0,1
221,0.88491,-1.5644,1,0
222,-0.112664,-1.15045,1,0
223,-1.16346,-1.0667,0,1
224,-1.07524,-0.588817,0,1
225,0.0753907,-0.412674,0,1
226,-0.648923,-0.343667,0,1
227,0.39454,-0.840021,0,1
228,0.488278,-1.01708,0,1
229,0.719675,-1.39168,1,0
230,1.166,-1.04937,1,0
231,0.300533,-1.68564,1,-1
232,-0.624138,-0.334148,0,1
233,-1.30703,-1.00097,0,1
234,0.56567,-1.48856,1,0
235,0.00834536,-1.36306,1,0
236,0.187061,-1.47587,1,0
237,1.05384,-1.28077,1,0
238,0.751046,-1.39746,1,0
239,0.832592,-1.50806,1,0
240,1.34137,-0.789016,1,0
241,-1.20055,-0.801695,0,1
242,0.195179,-1.42402,1,0
243,-0.321246,-1.04947,1,0
244,0.479628,-0.698722,0,1
245,-0.99848,-0.521694,0,1
246,-0.977426,-0.498966,0,1
247,1.20926,-1.15477,1,0
248,0.681311,-1.44252,1,0
249,0.759356,-1.54583,1,0
250,-1.15059,-0.854538,0,1
251,0.0163199,-1.43916,1,0
252,-0.0204648,-0.389864,0,1
253,1.09544,-1.21855,1,0
254,-1.07829,-0.734772,0,1
255,0.274667,-1.40368,1,0
256,-0.0245453,-1.4249,1,0
257,-0.340728,-0.339173,0,1
258,-1.17446,-0.574427,0,1
259,-0.17574,-1.38019,1,0
260,0.596205,-1.35096,1,0
261,0.481872,-1.52523,1,0
262,0.10866,-0.515591,0,1
263,-1.08139,-0.552508,0,1
264,-0.116786,-1.25888,1,0
265,1.31499,-0.929367,1,0
266,0.57632,-1.51325,1,0
267,-1.10403,-0.601989,0,1
268,0.180553,-0.462864,0,1
269,0.103332,-1.48831,1,0
270,-0.355115,-1.18752,1,0
271,-0.347086,-0.25112,0,1
272,0.422731,-0.895401,0,1
273,-0.106926,-0.267738,0,1
274,1.28852,-0.871692,1,0
275,-0.350976,-1.04138,1,0
276,0.867976,-1.5143,1,0
277,1.20842,-1.0427,1,0
278,0.83623,-1.43896,1,0
279,-0.398047,-0.35336,0,1
280,1.17011,-1.20391,1,0
281,0.721718,-1.44833,1,0
282,0.984845,-1.33994,1,0
283,0.893317,-1.42391,1,0
284,-1.32137,-0.976773,0,1
285,-0.000288991,-0.448472,0,1
286,-1.09993,-0.689701,0,1
287,0.333491,-0.494748,0,1
288,0.929503,-1.43329,1,0
289,0.384585,-0.886441,0,1
290,1.10281,-0.953424,1,0
291,-1.14819,-0.677175,0,1
292,0.578792,-1.46131,1,0
293,0.336288,-0.746368,0,1
294,1.01549,-1.36731,1,0
295,-0.389461,-0.90828,1,0
296,-0.118699,-1.32661,1,0
297,-0.486142,-0.853236,1,0
298,0.922267,-1.38864,1,0
299,0.486763,-1.43907,1,0
300,-0.25821,-0.929644,1,0
301,-0.422224,-0.351179,0,1
302,-1.0469,-0.490509,0,1
303,1.25118,-0.835609,1,0
304,0.459271,-1.44606,1,0
305,-0.292657,-0.311071,0,1
306,-0.299866,-0.297006,0,1
307,1.2355,-0.760059,1,0
308,0.202042,-1.42182,1,0
309,-1.23395,-0.942421,0,1
310,-0.320974,-0.359559,0,1
311,-0.590333,-0.278438,0,1
312,0.935035,-1.45873,1,0
313,-0.569754,-0.252561,0,1
314,-1.24143,-0.624517,0,1
315,0.512219,-1.33589,1,0
316,-1.229,-0.851897,0,1
317,-1.20407,-0.868461,0,1
318,-0.34014,-0.680322,1,0
319,-0.00414626,-0.331961,0,1
320,0.267133,-1.49317,1,0
321,-0.109071,-1.29269,1,0
322,0.622103,-1.43291,1,0
323,-1.20764,-0.892398,0,1
324,-0.382577,-1.0748,1,0
325,-0.326583,-0.906397,1,0
326,1.42469,-0.843111,1,0
327,0.379619,-0.842118,0,1
328,1.25487,-0.954049,1,0
329,0.137738,-0.411798,0,1
330,-0.126403,-0.357286,0,1
331,1.38928,-0.847075,1,0
332,-0.236668,-1.20201,1,0
333,1.35474,-0.749605,1,0
334,-0.205638,-1.33178,1,0
335,-0.930109,-0.515617,0,1
336,-0.0254227,-1.47551,1,0
337,0.156053,-0.412756,0,1
338,0.295189,-0.773763,0,1
339,-1.24334,-0.709825,0,1
340,-1.04514,-0.651882,0,1
341,0.250019,-0.658603,0,1
342,-0.908792,-0.377809,0,1
343,0.396011,-1.43937,1,0
344,0.596641,-1.56227,1,0
345,0.288265,-1.67174,1,0
346,0.0093401,-1.36869,1,0
347,-0.0373059,-0.275175,0,1
348,-0.307693,-1.07097,1,0
349,-0.446416,-0.329926,0,1
350,0.755793,-1.47539,1,0
351,0.421379,-1.00097,0,1
352,-0.941636,-0.559348,0,1
353,0.130625,-0.474942,0,1
354,0.248505,-1.4722,1,0
355,-0.246966,-1.26285,1,0
356,-0.319062,-0.77408,1,0
357,-1.24331,-0.753101,0,1
358,-0.187608,-1.24797,1,0
359,-1.10485,-0.746117,0,1
360,0.122411,-0.530791,0,1
361,-1.28981,-0.915973,0,1
362,-0.133027,-1.22995,1,0
363,0.600556,-1.3407,1,0
364,0.72833,-1.40054,1,0
365,0.264525,-1.56135,1,0
366,-0.289746,-1.07471,1,0
367,0.416157,-0.86847,0,1
368,-1.24101,-0.941799,0,1
369,0.399472,-1.03063,0,1
370,1.08264,-1.31783,1,0
371,0.420625,-0.563665,0,1
372,0.583817,-1.52212,1,0
373,0.436087,-1.51163,1,0
374,-0.137557,-1.3066,1,0
375,0.31864,-1.48459,1,0
376,-0.328167,-0.936521,1,0
377,0.797824,-1.47549,1,0
378,1.17019,-0.771151,1,0
379,1.296,-0.846995,1,0
380,0.271049,-0.510703,0,1
381,1.09802,-1.12829,1,0
382,0.980481,-1.37552,1,0
383,0.273208,-1.32539,1,0
384,-0.150056,-1.33759,1,0
385,-0.435344,-1.01682,1,0
386,-0.410089,-0.234452,0,1
387,0.490444,-1.54521,1,0
388,0.704792,-1.517,1,0
389,-0.349093,-0.345908,0,1
390,0.0322585,-1.45542,1,0
391,-1.20349,-0.618712,0,1
392,-0.0163907,-1.41444,1,0
393,0.769254,-1.28488,1,0
394,-1.17906,-0.595651,0,1
395,0.893386,-1.23992,1,0
396,-1.00757,-0.714181,0,1
397,0.0312086,-0.44624,0,1
398,1.25387,-1.0681,1,0
399,1.36784,-0.903456,1,0
400,-0.392263,-0.78592,1,0
401,-0.094138,-1.37408,1,0
402,-0.611493,-0.244925,0,1
403,1.21186,-0.941522,1,0
404,0.76422,-1.4133,1,0
405,-0.213545,-0.417154,0,1
406,-0.256398,-1.1351,1,0
407,-0.482753,-0.338915,0,1
408,-0.490353,-0.241393,0,1
409,0.478049,-0.95962,0,1
410,1.13181,-1.13759,1,0
411,0.626453,-1.49576,1,0
412,-0.175579,-0.364076,0,1
413,-0.145117,-1.23828,1,0
414,0.308155,-0.714413,0,1
415,-1.35391,-0.87483,0,1
416,-1.15118,-0.879625,0,1
417,0.404215,-0.755598,0,1
418,0.418999,-1.48158,1,0
419,-1.29804,-0.809996,0,1
420,1.26151,-1.12388,1,0
421,-0.0759659,-0.464528,0,1
422,-1.14698,-0.901741,0,1
423,-0.149882,-0.332504,0,1
424,-0.921073,-0.423178,0,1
425,-0.170911,-1.35368,1,0
426,-0.0295543,-1.45066,1,0
427,-0.193634,-1.31542,1,0
428,-0.337334,-0.331904,0,1
429,-0.127839,-0.363575,0,1
430,1.2617,-0.910863,1,0
431,-1.2445,-0.984704,0,1
432,0.399941,-0.574673,0,1
433,-0.206621,-0.185537,0,1
434,-0.17528,-0.225795,0,1
435,-1.01932,-0.527175,0,1
436,-1.28831,-1.0432,0,1
437,-0.227437,-1.23038,1,0
438,-0.289745,-0.345407,0,1
439,0.283453,-0.488416,0,1
440,-0.108799,-1.28157,1,0
441,0.519076,-1.35975,1,0
442,-1.24584,-0.736095,0,1
443,0.0278167,-0.523049,0,1
444,1.26317,-0.948796,1,0
445,0.222033,-0.613943,0,1
446,0.295849,-1.58242,1,0
447,-0.0010294,-1.2709,1,0
448,-1.28607,-0.789192,0,1
449,0.61171,-1.50109,1,0
450,1.41437,-0.725822,1,0
451,-0.709522,-0.323451,0,1
452,-0.958931,-0.496677,0,1
453,0.10471,-0.571885,0,1
454,-0.249632,-1.14422,1,0
455,-0.392495,-1.10688,1,0
456,0.253925,-1.50696,1,0
457,0.724317,-1.43627,1,0
458,0.0281977,-1.56067,1,0
459,0.605054,-1.10096,0,1
460,0.120159,-0.733445,0,1
461,-1.10966,-1.05337,0,1
462,-0.010264,-0.359981,0,1
463,-0.176158,-0.300888,0,1
464,-1.30806,-0.763279,0,1
465,-0.15262,-0.439993,0,1
466,-1.24805,-0.72636,0,1
467,-1.10676,-0.550127,0,1
468,0.172863,-1.39249,1,0
469,-1.00868,-0.555248,0,1
470,1.12733,-1.34281,1,0
471,0.349728,-0.645979,0,1
472,0.279064,-1.54432,1,0
473,-0.188223,-0.382375,0,1
474,-0.176042,-0.293712,0,1
475,-1.19238,-0.950887,0,1
476,-0.741685,-0.314788,0,1
477,-1.01489,-0.590146,0,1
478,0.377254,-0.66961,0,1
479,-0.984556,-0.481855,0,1
480,-0.928287,-0.345343,0,1
481,1.28548,-1.02961,1,0
482,-0.618735,-0.277212,0,1
483,-0.381187,-1.09711,1,0
484,1.33756,-0.89512,1,0
485,-0.402545,-0.607667,1,0
486,-1.19278,-0.771781,0,1
487,0.100684,-0.517427,0,1
488,0.882741,-1.4351,1,0
489,0.998767,-1.40404,1,0
490,-0.992062,-0.593999,0,1
491,-0.385102,-0.322414,0,1
492,-0.0877558,-1.25861,1,0
493,0.923412,-1.27655,1,0
494,1.16862,-1.18408,1,0
495,1.13379,-1.26598,1,0
496,-1.10564,-0.635528,0,1
497,-1.13475,-0.634051,0,1
498,0.206477,-0.587043,0,1
499,0.843666,-1.3819,1,0
500,0.0177175,-1.43873,1,0
501,-0.61546,-0.254175,0,1
502,1.3691,-0.909439,1,0
503,-1.09701,-0.634875,0,1
504,0.382846,-0.765598,0,1
505,-1.20407,-0.685933,0,1
506,0.711452,-1.47223,1,0
507,0.196983,-0.621589,0,1
508,-0.605712,-0.255811,0,1
509,-0.577576,-0.459114,0,1
510,0.803616,-1.4354,1,0
511,-0.836575,-0.37485,0,1
512,-0.9685,-0.420137,0,1
513,1.16923,-1.43874,1,0
514,1.26635,-0.899935,1,0
515,0.397325,-1.43645,1,0
516,-0.639662,-0.292242,0,1
517,0.221722,-0.645357,0,1
518,-0.54861,-0.263832,0,1
519,1.01379,-1.24014,1,0
520,1.07095,-1.35183,1,0
521,1.15059,-1.09112,1,0
522,0.221482,-1.40537,1,0
523,0.442885,-1.5724,1,0
524,-1.19781,-0.645004,0,1
525,-0.364849,-1.0459,1,0
526,-0.375553,-0.781232,1,0
527,-1.17098,-0.989274,0,1
528,-0.368005,-1.18646,1,0
529,-0.1755,-0.348612,0,1
530,-1.0071,-0.378806,0,1
531,1.17941,-1.09685,1,0
532,0.406613,-0.837742,0,1
533,-0.0114481,-1.44459,1,0
534,1.43027,-1.16602,1,-1
535,-1.18835,-0.455543,0,1
536,-0.187447,-1.1775,1,0
537,1.31574,-1.11683,1,0
538,0.321647,-1.43294,1,0
539,-0.00494797,-1.35324,1,0
540,-0.0291336,-0.334137,0,1
541,1.27887,-0.970849,1,0
542,-0.0180444,-1.36233,1,0
543,-0.373586,-0.380341,0,1
544,-0.983306,-0.504668,0,1
545,1.26565,-0.922156,1,0
546,0.308135,-1.38816,1,0
547,-1.15363,-0.572454,0,1
548,-0.699971,-0.2496,0,1
549,-0.426988,-0.330571,0,1
550,-0.308186,-0.308714,0,1
551,-0.38491,-0.695484,1,0
552,1.11531,-1.1986,1,0
553,-1.28796,-1.03089,0,1
554,1.16173,-0.998798,1,0
555,-1.0089,-0.666363,0,1
556,-0.174472,-0.20685,0,1
557,-0.261705,-0.3098,0,1
558,1.00579,-1.25087,1,0
559,-0.202706,-1.30544,1,0
560,0.515658,-0.986204,0,1
561,0.265553,-0.601717,0,1
562,-0.124039,-0.445316,0,1
563,-0.412509,-0.97564,1,0
564,1.32124,-0.743514,1,0
565,-0.389045,-0.783352,1,0
566,0.281532,-0.754071,0,1
567,-1.04379,-0.475694,0,1
568,-1.10458,-0.654299,0,1
569,-0.260774,-1.02543,1,0
570,-0.272264,-0.744653,1,0
571,-1.19109,-0.420642,0,1
572,0.255122,-0.729647,0,1
573,1.09179,-1.38164,1,0
574,0.0451081,-1.33251,1,0
575,0.132598,-0.411148,0,1
576,-0.137646,-1.42008,1,0
577,-0.493961,-0.259042,0,1
578,-0.178122,-0.312542,0,1
579,-0.21226,-0.196711,0,1
580,0.0284213,-1.39301,1,0
581,0.110789,-1.4317,1,0
582,-1.16428,-0.832637,0,1
583,1.37248,-0.762812,1,0
584,-0.147524,-1.24781,1,0
585,0.985102,-1.36906,1,0
586,-1.10889,-0.547042,0,1
587,-0.856528,-0.455495,0,1
588,0.0821204,-1.42166,1,0
589,0.487486,-1.11518,0,1
590,1.2708,-0.860154,1,0
591,-0.718943,-0.417375,0,1
592,-0.0720749,-0.353824,0,1
593,0.285876,-1.08805,0,1
594,-0.0692971,-1.27599,1,0
595,-0.971325,-0.5592,0,1
596,1.29397,-0.761846,1,0
597,0.292132,-0.890418,0,1
598,-1.03337,-0.408655,0,1
599,0.0672525,-0.388945,0,1
600,0.39085,-0.638312,0,1
601,-1.07865,-0.653689,0,1
602,-0.387898,-0.815292,1,0
603,-0.370698,-0.895045,1,0
604,0.270535,-1.48215,1,0
605,1.19169,-1.14827,1,0
606,-1.04254,-0.55167,0,1
607,1.24994,-0.782502,1,0
608,-0.479098,-0.7828,1,0
609,1.23706,-1.05716,1,0
610,-0.377617,-0.325562,0,1
611,-0.137214,-0.392736,0,1
612,-0.563404,-0.374258,0,1
613,-0.331625,-0.350263,0,1
614,1.2841,-0.796375,1,0
615,-0.387039,-0.780031,1,0
616,0.464592,-1.54254,1,0
617,-0.671817,-0.35456,0,1
618,-1.13485,-0.565878,0,1
619,-1.02275,-0.673086,0,1
620,-0.222863,-1.23014,1,0
621,1.43486,-0.651555,1,0
622,0.818364,-1.31744,1,0
623,0.617398,-1.44147,1,0
624,0.171541,-0.444542,0,1
625,-1.37968,-0.937687,0,1
626,-0.421431,-0.92812,1,0
627,-0.0264547,-1.3215,1,0
628,0.281732,-1.44352,1,0
629,0.369421,-0.888374,0,1
630,-0.426506,-0.200857,0,1
631,-0.928635,-0.556336,0,1
632,0.0404897,-1.25221,1,0
633,0.0868911,-0.448976,0,1
634,0.62737,-1.4019,1,0
635,-0.486478,-0.866925,1,0
636,-0.958805,-0.46041,0,1
637,-0.336361,-0.753367,1,0
638,-1.23574,-0.790399,0,1
639,0.416163,-0.717319,0,1
640,1.16259,-1.19688,1,0
641,0.805418,-1.42992,1,0
642,-0.323682,-1.21354,1,0
643,-1.23099,-0.846874,0,1
644,1.22363,-1.21916,1,0
645,-1.14724,-0.731767,0,1
646,0.132926,-1.41669,1,0
647,1.15368,-1.01726,1,0
648,0.487475,-1.58924,1,0
649,-0.0625951,-0.309674,0,1
650,-1.2579,-0.970382,0,1
651,-0.53223,-0.272429,0,1
652,-1.21533,-0.680183,0,1
653,0.448278,-0.954821,0,1
654,0.48705,-1.08983,0,1
655,-0.290804,-0.328947,0,1
656,0.659803,-1.49244,1,0
657,-0.195136,-1.30465,1,0
658,1.34995,-0.731729,1,0
659,0.213166,-0.541421,0,1
660,1.11989,-1.25514,1,0
661,0.438502,-0.988135,0,1
662,1.3362,-0.785741,1,0
663,0.0239087,-1.47701,1,0
664,-0.306841,-0.835528,1,0
665,-1.17087,-0.680774,0,1
666,-0.338238,-0.93017,1,0
667,-0.312526,-1.08593,1,0
668,-1.20059,-0.67609,0,1
669,-0.249132,-1.02201,1,0
670,-0.060547,-0.455328,0,1
671,0.505394,-1.0332,0,1
672,-0.277865,-0.280631,0,1
673,-1.25219,-0.441678,0,1
674,0.383999,-0.932236,0,1
675,0.250562,-0.787386,0,1
676,-0.239936,-0.431874,0,1
677,0.503598,-0.93818,0,1
678,-0.358268,-0.856203,1,0
679,0.156564,-0.537508,0,1
680,0.318081,-0.810348,0,1
681,-0.2777,-0.980288,1,0
682,-0.457601,-1.09155,1,0
683,0.398752,-0.855811,0,1
684,1.27115,-1.09533,1,0
685,-1.29887,-0.938007,0,1
686,0.479733,-0.920347,0,1
687,0.933778,-1.30872,1,0
688,-0.967068,-0.50681,0,1
689,-0.262212,-1.18378,1,0
690,0.392955,-1.51753,1,0
691,0.863886,-1.40668,1,0
692,-0.403628,-0.813386,1,0
693,-0.995927,-0.40235,0,1
694,0.500021,-1.41764,1,0
695,-1.16725,-0.649239,0,1
696,-0.713131,-0.376137,0,1
697,0.791764,-1.59538,1,0
698,1.13192,-1.28977,1,0
699,1.28183,-0.924789,1,0
700,-0.0781308,-1.33329,1,0
701,0.490368,-0.915105,0,1
702,-0.206492,-1.18809,1,0
703,0.313146,-0.691346,0,1
704,-1.19184,-0.745174,0,1
705,-1.32699,-1.01436,0,1
706,0.154449,-0.576572,0,1
707,-0.0342636,-0.416643,0,1
708,-1.34108,-0.915634,0,1
709,-0.447816,-0.421772,0,1
710,-0.901712,-0.55847,0,1
711,-0.335134,-0.996472,1,0
712,-0.566326,-0.780467,1,0
713,0.21948,-0.523135,0,1
714,1.32775,-0.814659,1,0
715,0.407926,-0.689619,0,1
716,0.355228,-0.974846,0,1
717,0.0182691,-1.39023,1,0
718,0.137906,-0.507288,0,1
719,-0.336221,-1.00465,1,0
720,0.479694,-0.860147,0,1
721,-0.874701,-0.636054,0,1
722,0.461553,-1.62165,1,0
723,0.403234,-1.48372,1,0
724,1.28257,-0.793343,1,0
725,-0.19583,-1.12221,1,0
726,0.21082,-0.369856,0,1
727,0.331791,-0.556759,0,1
728,0.38127,-1.4121,1,0
729,0.389702,-0.962132,0,1
730,0.789916,-1.46592,1,0
731,0.406842,-0.701453,0,1
732,-1.07515,-0.431455,0,1
733,1.06707,-1.18047,1,0
734,-0.801978,-0.414152,0,1
735,0.252638,-0.589593,0,1
736,-0.0228893,-0.448465,0,1
737,-0.257649,-0.367045,0,1
738,-0.62715,-0.352431,0,1
739,-1.21548,-1.10434,0,1
740,-0.367145,-0.282832,0,1
741,0.333903,-0.802958,0,1
742,-0.332365,-0.807646,1,0
743,-1.27163,-1.06538,0,1
744,-0.313521,-0.932963,1,0
745,-0.132622,-1.30079,1,0
746,0.404207,-0.690384,0,1
747,-0.632796,-0.349644,0,1
748,0.435156,-0.857809,0,1
749,1.04102,-1.18217,1,0
750,0.357281,-1.47679,1,0
751,1.11816,-1.14348,1,0
752,-0.130708,-0.192657,0,1
753,0.973413,-1.28686,1,0
754,0.925189,-1.40283,1,0
755,-1.26258,-1.11574,0,1
756,-0.473761,-0.354588,0,1
757,0.0349418,-0.324542,0,1
758,0.877891,-1.45505,1,0
759,0.0541476,-0.32858,0,1
760,-0.0993514,-0.46643,0,1
761,0.479934,-0.763109,0,1
762,0.810722,-1.29173,1,0
763,-1.09424,-0.914524,0,1
764,-0.0789689,-0.327253,0,1
765,0.345692,-1.52418,1,0
766,0.327894,-1.49571,1,0
767,0.45963,-0.865593,0,1
768,0.432696,-0.853182,0,1
769,-0.249545,-0.976718,1,0
770,0.485776,-1.06257,0,1
771,0.476453,-1.49669,1,0
772,-0.630587,-0.365933,0,1
773,-0.651806,-0.324497,0,1
774,-0.604395,-0.739389,1,-1
775,-1.1425,-0.959743,0,1
776,-0.344356,-1.09429,1,0
777,0.938691,-1.37052,1,0
778,-0.255783,-1.18813,1,0
779,0.115709,-1.40142,1,0
780,0.310181,-0.873784,0,1
781,0.505093,-0.727319,0,1
782,-0.463627,-1.04997,1,0
783,0.381193,-0.779593,0,1
784,-0.834641,-0.358941,0,1
785,-0.24239,-1.13796,1,0
786,-1.35711,-0.857645,0,1
787,-0.0582731,-1.27484,1,0
788,0.891378,-1.44651,1,0
789,-0.580198,-0.35886,0,1
790,-0.346067,-0.786913,1,0
791,-1.12972,-0.737127,0,1
792,0.651101,-1.5031,1,0
793,-0.213981,-1.21622,1,0
794,0.696199,-1.63509,1,0
