Index,Solution
211,0.599896
212,0.600373
213,0.600376
214,0.600371
215,0.600296
216,0.600374
217,0.60045
218,0.600076
219,0.600097
220,0.598107
221,0.595269
222,0.601147
223,0.601679
224,0.59556
225,0.600122
226,0.601211
227,0.601276
228,0.601358
229,0.600062
230,0.601257
231,0.601179
232,0.595479
233,0.604493
234,0.604563
235,0.604546
236,0.60542
237,0.604576
238,0.604581
239,0.605691
240,0.604428
241,0.604424
242,0.60456
243,0.60443
244,0.604425
245,0.604436
246,0.604407
247,0.604407
248,0.604309
249,0.6044
250,0.604379
251,0.604509
252,0.604419
253,0.60441
254,0.604408
255,0.604396
256,0.604412
257,0.604396
258,0.605625
259,0.604412
260,0.604393
261,0.604424
262,0.604405
263,0.604805
264,0.604389
265,0.604444
266,0.604367
267,0.604482
268,0.604389
269,0.604566
270,0.604504
271,0.604441
272,0.604389
273,0.604389
274,0.604496
275,0.60439
276,0.604412
277,0.605546
278,0.604458
279,0.604566
280,0.604594
281,0.604311
282,0.604411
283,0.604376
284,0.60441
285,0.604539
286,0.605423
287,0.604469
288,0.604412
289,0.604396
290,0.604429
291,0.604428
292,0.604435
293,0.604435
294,0.604433
295,0.604518
296,0.604519
297,0.604445
298,0.604518
299,0.604381
300,0.604456
301,0.604398
302,0.604389
303,0.604391
304,0.604391
305,0.604426
306,0.604467
307,0.604424
308,0.605446
309,0.604462
310,0.604749
311,0.604389
312,0.604516
313,0.604438
314,0.604393
315,0.604392
316,0.604396
317,0.604958
318,0.60439
319,0.604565
320,0.604414
321,0.60445
322,0.604431
323,0.604672
324,0.604796
325,0.604686
326,0.6044
327,0.604353
328,0.60439
329,0.603792
330,0.603794
331,0.603806
332,0.604176
333,0.604176
334,0.603805
335,0.603806
336,0.603813
337,0.604003
338,0.604002
339,0.604072
340,0.604175
341,0.604272
342,0.604204
343,0.604204
344,0.604186
345,0.604187
346,0.604167
347,0.604172
348,0.604172
349,0.604156
350,0.604754
351,0.604044
352,0.60337
353,0.602698
354,0.604004
355,0.60269
356,0.602735
357,0.602835
358,0.601306
359,0.605209
360,0.603106
361,0.605185
362,0.60283
363,0.602734
364,0.602734
365,0.604819
366,0.604175
367,0.604172
368,0.604165
369,0.604573
370,0.604168
371,0.60417
372,0.602734
373,0.602734
374,0.603907
375,0.603954
376,0.603954
377,0.603954
378,0.603952
379,0.603952
380,0.603952
381,0.60308
382,0.602613
383,0.602591
384,0.602591
385,0.602591
386,0.602591
387,0.603257
388,0.60383
389,0.603255
390,0.603255
391,0.602644
392,0.60207
393,0.602751
394,0.602769
395,0.602798
396,0.602328
397,0.602746
398,0.602756
399,0.588309
400,0.604414
401,0.604376
402,0.605122
403,0.604237
404,0.602965
405,0.602858
406,0.602753
407,0.604118
408,0.604153
409,0.607052
410,0.607042
411,0.608589
412,0.607934
413,0.607903
414,0.607903
415,0.607432
416,0.607432
417,0.605631
418,0.605547
419,0.607093
420,0.60714
421,0.607139
422,0.606911
423,0.606975
424,0.606877
425,0.607101
426,0.60689
427,0.607874
428,0.607823
429,0.607819
430,0.60789
431,0.60789
432,0.607951
433,0.607955
434,0.607493
435,0.60669
436,0.607098
437,0.607091
438,0.60715
439,0.607162
440,0.606792
441,0.606733
442,0.607085
443,0.607118
444,0.606462
445,0.606458
446,0.606312
447,0.606163
448,0.606219
449,0.606216
450,0.606216
451,0.605856
452,0.605829
453,0.606501
454,0.606444
455,0.616703
456,0.616646
457,0.607119
458,0.607156
459,0.607152
460,0.607168
461,0.607429
462,0.607447
463,0.606083
464,0.606326
465,0.606925
466,0.606883
467,0.599612
468,0.603347
469,0.60709
470,0.603912
471,0.603535
472,0.588311
473,0.601368
474,0.634523
475,0.60567
476,0.606948
477,0.606915
478,0.602911
479,0.603106
480,0.60131
481,0.603672
482,0.602864
483,0.602215
484,0.600885
485,0.606634
486,0.601077
487,0.601077
488,0.600787
489,0.600787
490,0.601118
491,0.600791
492,0.60079
493,0.604102
494,0.615135
495,0.606474
496,0.606637
497,0.601996
498,0.606498
499,0.606448
500,0.606703
501,0.6062
502,0.618719
503,0.602291
504,0.604118
505,0.606938
506,0.608526
507,0.604491
508,0.607144
509,0.607505
510,0.606582
511,0.607487
512,0.615274
513,0.608379
514,0.607224
515,0.607127
516,0.612336
517,0.607249
518,0.609096
519,0.607472
520,0.606484
521,0.606647
522,0.602027
523,0.628912
524,0.604268
525,0.605147
526,0.604526
527,0.606952
528,0.606948
529,0.601212
530,0.606163
531,0.605417
532,0.628917
533,0.606863
534,0.606464
535,0.606486
536,0.606391
537,0.607493
538,0.606287
539,0.613733
540,0.603347
541,0.605422
542,0.603348
543,0.599615
544,0.605667
545,0.605032
546,0.607665
547,0.646945
548,0.784721
549,0.657987
550,0.647093
551,0.643092
552,0.64623
553,0.604771
554,0.634402
555,0.624289
556,0.632898
557,0.632222
558,0.623411
559,0.640717
560,0.667425
561,0.674328
562,0.785101
563,0.616754
564,0.713091
565,0.658094
566,0.713697
567,0.604373
568,0.599371
569,0.617406
570,0.602253
571,0.617751
572,0.600394
573,0.604722
574,0.601063
575,0.601598
576,0.598624
577,0.602692
578,0.617419
579,0.620365
580,0.601058
581,0.601981
582,0.601375
583,0.605672
584,0.605826
585,0.604509
586,0.620876
587,0.604563
588,0.614149
589,0.60355
590,0.614519
591,0.605607
592,0.605059
593,0.617479
594,0.604238
595,0.605416
596,0.604852
597,0.620924
598,0.599503
599,0.61738
600,0.615079
601,0.614607
602,0.605141
603,0.605066
604,0.60557
605,0.598896
606,0.605843
607,0.598894
608,0.605494
609,0.598894
610,0.605505
611,0.605056
612,0.605986
613,0.620963
614,0.605327
615,0.603271
616,0.606687
617,0.603218
618,0.604457
619,0.603585
620,0.622668
621,0.60069
622,0.603784
623,0.622618
624,0.600676
625,0.601245
626,0.604071
627,0.602734
628,0.601743
629,0.600916
630,0.602506
631,0.601722
632,0.614975
633,0.601465
634,0.600749
635,0.600518
636,0.601741
637,0.622535
638,0.604117
639,0.614684
640,0.601105
641,0.603284
642,0.60174
643,0.604978
644,0.605094
645,0.604473
646,0.605531
647,0.60667
648,0.604759
649,0.605123
650,0.605306
651,0.605074
652,0.605144
653,0.606262
654,0.604836
655,0.606682
656,0.604807
657,0.604752
658,0.606429
659,0.604598
660,0.606461
661,0.604866
662,0.605077
663,0.604523
664,0.604835
665,0.604812
666,0.604518
667,0.605157
668,0.604668
669,0.604891
670,0.604714
671,0.604802
672,0.605128
673,0.60455
674,0.604545
675,0.604696
676,0.60647
677,0.606656
678,0.604662
679,0.606054
680,0.604777
681,0.604814
682,0.606179
683,0.606179
684,0.607379
685,0.605595
686,0.605595
687,0.605663
688,0.606121
689,0.606566
690,0.607377
691,0.607378
692,0.607064
693,0.606598
694,0.607083
695,0.604376
696,0.606567
697,0.606573
698,0.605062
699,0.605336
700,0.604146
701,0.605529
702,0.605862
703,0.605911
704,0.606779
705,0.60079
706,0.600791
707,0.604532
708,0.603843
709,0.642596
710,0.610681
711,0.605347
712,0.605347
713,0.605638
714,0.60541
715,0.602331
716,0.602333
717,0.614639
718,0.614639
719,0.614639
720,0.614639
721,0.614639
722,0.614639
723,0.615147
724,0.615862
725,0.600779
726,0.606793
727,0.606794
728,0.606798
729,0.606798
730,0.606835
731,0.615963
732,0.601136
733,0.608039
734,0.588223
735,0.58997
736,0.588223
737,0.58997
738,0.591482
739,0.591516
740,0.591478
741,0.590191
742,0.588402
743,0.591471
744,0.566805
745,0.576922
746,0.591211
747,0.591264
748,0.591456
749,0.591456
750,0.591458
751,0.59129
752,0.591451
753,0.591286
754,0.598665
755,0.591409
756,0.591297
757,0.591205
758,0.591468
759,0.592499
760,0.592462
761,0.591319
762,0.591226
763,0.598816
764,0.591292
765,0.592415
766,0.592474
767,0.592297
768,0.592294
769,0.593159
770,0.592223
771,0.592244
772,0.60223
773,0.601982
774,0.602359
775,0.602208
776,0.605199
777,0.601651
778,0.601685
779,0.60167
780,0.60355
781,0.617392
782,0.617563
783,0.601087
784,0.599398
785,0.598619
786,0.60153
787,0.599656
788,0.59984
789,0.605609
790,0.605445
791,0.599957
792,0.594785
793,0.605199
794,0.604759
795,0.600436
796,0.599948
797,0.599311
798,0.600375
799,0.608688
800,0.601897
801,0.600805
802,0.601179
803,0.601181
804,0.5997
805,0.605583
806,0.605435
807,0.605603
808,0.607193
809,0.604761
810,0.604768
811,0.604696
812,0.606189
813,0.604805
814,0.604784
815,0.606321
816,0.606175
817,0.606169
818,0.60681
819,0.6068
820,0.60558
821,0.606142
822,0.593157
823,0.594777
824,0.59478
825,0.5668
826,0.571072
827,0.595341
828,0.591993
829,0.591989
830,0.59233
831,0.592339
832,0.591998
833,0.594931
834,0.591114
835,0.592329
836,0.59538
837,0.595934
838,0.592007
839,0.591995
840,0.592319
841,0.592336
842,0.591977
843,0.595004
844,0.591103
845,0.592321
846,0.592539
847,0.592575
848,0.59182
849,0.592589
850,0.592384
851,0.591884
852,0.592615
853,0.591821
854,0.592582
855,0.592575
856,0.591722
857,0.592501
858,0.59559
859,0.600783
860,0.602667
861,0.591128
862,0.591614
863,0.592079
864,0.592075
865,0.592368
866,0.592926
867,0.592366
868,0.592347
869,0.592368
870,0.592363
871,0.592669
872,0.5926
873,0.594855
874,0.592623
875,0.592618
876,0.592757
877,0.592938
878,0.592669
879,0.606138
880,0.592669
881,0.59268
882,0.59275
883,0.606725
884,0.606165
885,0.6092
886,0.605528
887,0.605531
888,0.605365
889,0.605607
890,0.605606
891,0.606413
892,0.606407
893,0.605293
894,0.613222
895,0.60556
896,0.605578
897,0.606052
898,0.606223
899,0.606241
900,0.605518
901,0.605574
902,0.625643
903,0.605607
904,0.605614
905,0.60557
906,0.606026
907,0.606091
908,0.604707
909,0.604679
910,0.605937
911,0.605926
912,0.605575
913,0.606309
914,0.60604
915,0.632155
916,0.60537
917,0.605331
918,0.605516
919,0.607209
920,0.605441
921,0.605209
922,0.605698
923,0.605437
924,0.605428
925,0.606056
926,0.606775
927,0.606615
928,0.606611
929,0.605337
930,0.605338
931,0.601405
932,0.604976
933,0.604947
934,0.606159
935,0.606445
936,0.606771
937,0.606284
938,0.60559
939,0.60609
940,0.60617
941,0.604929
942,0.605624
943,0.60562
944,0.606808
945,0.607263
946,0.606146
947,0.608837
948,0.601434
949,0.608381
950,0.607453
951,0.609465
952,0.608069
953,0.606161
954,0.608366
955,0.608549
956,0.609367
957,0.609131
958,0.606198
959,0.609541
960,0.606662
961,0.606711
962,0.606548
963,0.608244
964,0.607163
965,0.606705
966,0.609213
967,0.606422
968,0.607302
969,0.607256
970,0.606701
971,0.606665
972,0.609532
973,0.632148
974,0.607386
975,0.62975
976,0.629738
977,0.630829
978,0.632148
979,0.634708
980,0.626412
981,0.626423
982,0.632149
983,0.626439
984,0.628623
985,0.632233
986,0.627691
987,0.616575
988,0.630733
989,0.630738
990,0.632159
991,0.632157
992,0.614315
993,0.613916
994,0.618861
995,0.622917
996,0.622906
997,0.625965
998,0.627698
999,0.632172
1000,0.62954
1001,0.60503
1002,0.606104
1003,0.605967
1004,0.606183
1005,0.606363
1006,0.606365
1007,0.605634
1008,0.607729
1009,0.607729
1010,0.607748
1011,0.607748
1012,0.606171
1013,0.606183
1014,0.606174
1015,0.605772
1016,0.606174
1017,0.607729
1018,0.606883
1019,0.606464
1020,0.606465
1021,0.607746
1022,0.605637
1023,0.605703
1024,0.605508
1025,0.603581
1026,0.605024
1027,0.6053
1028,0.606174
1029,0.606233
1030,0.606235
1031,0.605951
1032,0.606882
1033,0.605877
1034,0.606099
1035,0.606014
1036,0.606172
1037,0.606172
1038,0.606183
1039,0.607752
1040,0.606231
1041,0.606709
1042,0.604658
1043,0.604592
1044,0.605674
1045,0.604638
1046,0.605823
1047,0.605156
1048,0.60486
1049,0.604506
1050,0.6045
1051,0.604499
1052,0.604767
1053,0.605041
1054,0.604744
1055,0.604566
1056,0.606206
1057,0.604679
1058,0.60673
1059,0.605065
1060,0.607991
1061,0.602342
1062,0.603089
1063,0.60316
1064,0.600439
1065,0.604616
1066,0.59952
1067,0.604687
1068,0.6043
1069,0.599552
1070,0.599433
1071,0.60284
1072,0.604077
1073,0.604006
1074,0.603349
1075,0.599602
1076,0.599772
1077,0.600043
1078,0.598728
1079,0.600255
1080,0.603969
1081,0.603446
1082,0.602476
1083,0.599995
1084,0.601112
1085,0.60411
1086,0.602479
1087,0.59968
1088,0.605518
1089,0.598597
1090,0.598816
1091,0.60497
1092,0.598932
1093,0.600161
1094,0.599427
1095,0.601173
1096,0.598981
1097,0.598985
1098,0.599041
1099,0.598995
1100,0.598895
1101,0.604241
1102,0.601232
1103,0.599326
1104,0.599443
1105,0.605837
1106,0.601216
1107,0.598798
1108,0.606085
1109,0.599682
1110,0.599619
1111,0.604054
1112,0.599418
1113,0.599117
1114,0.599054
1115,0.599053
1116,0.598781
1117,0.599226
1118,0.599669
1119,0.59884
1120,0.60482
1121,0.606195
1122,0.606698
1123,0.604664
1124,0.613196
1125,0.605292
1126,0.602215
1127,0.598595
1128,0.605518
1129,0.605327
1130,0.60673
1131,0.599646
1132,0.605209
1133,0.606445
1134,0.605175
1135,0.606524
1136,0.600805
1137,0.59968

Iteration,Residual
0,1460.03
1,20.8333
2,10.2286
3,10.0106
4,9.82697
5,9.74958
6,9.70736
7,9.61237
8,8.62111
9,7.56513
10,5.9639
11,5.0515
12,4.50594
13,4.21333
14,4.12134
15,4.02447
16,3.88638
17,3.6491
18,3.45245
19,3.22594
20,3.00635
21,2.94139
22,2.8788
23,2.82057
24,2.75224
25,2.5056
26,2.23372
27,1.9622
28,1.78143
29,1.68749
30,1.61057
31,1.5988
32,1.5699
33,1.55946
34,1.53665
35,1.51385
36,1.50071
37,1.49153
38,1.4856
39,1.46528
40,1.44524
41,1.40784
42,1.35205
43,1.33584
44,1.30764
45,1.25558
46,1.2407
47,1.21623
48,1.15921
49,1.13236
50,1.10612
51,1.0803
52,1.03758
53,0.984891
54,0.966277
55,0.938851
56,0.898176
57,0.872384
58,0.866783
59,0.864297
60,0.861243
61,0.861131
62,0.860935
63,0.860933
64,0.860929
65,0.860519
66,0.860405
67,0.860259
68,0.859837
69,0.859616
70,0.859342
71,0.859011
72,0.858994
73,0.858991
74,0.85892
75,0.858637
76,0.858596
77,0.858337
78,0.857932
79,0.857232
80,0.855886
81,0.853629
82,0.850326
83,0.845342
84,0.833593
85,0.827149
86,0.822077
87,0.817425
88,0.813449
89,0.808868
90,0.805937
91,0.804875
92,0.803945
93,0.803299
94,0.802477
95,0.801487
96,0.798559
97,0.792177
98,0.787093
99,0.781403
100,0.775964
101,0.771655
102,0.766929
103,0.759723
104,0.75102
105,0.7396
106,0.730274
107,0.724287
108,0.716824
109,0.700064
110,0.679256
111,0.666869
112,0.66595
113,0.660518
114,0.652958
115,0.640359
116,0.629169
117,0.623642
118,0.617944
119,0.601787
120,0.595403
121,0.581852
122,0.569059
123,0.560823
124,0.55094
125,0.543316
126,0.527914
127,0.516487
128,0.504428
129,0.490489
130,0.480406
131,0.476733
132,0.47623
133,0.473542
134,0.469209
135,0.465466
136,0.463557
137,0.463046
138,0.460975
139,0.455933
140,0.448164
141,0.432695
142,0.421199
143,0.414911
144,0.409998
145,0.40713
146,0.404669
147,0.401452
148,0.397988
149,0.394981
150,0.392322
151,0.389425
152,0.384841
153,0.380434
154,0.372236
155,0.365153
156,0.361488
157,0.360692
158,0.360485
159,0.360312
160,0.359938
161,0.359181
162,0.358223
163,0.35621
164,0.354441
165,0.351842
166,0.348234
167,0.346171
168,0.342089
169,0.337926
170,0.335687
171,0.335152
172,0.333754
173,0.332431
174,0.331988
175,0.331563
176,0.331022
177,0.330863
178,0.330474
179,0.328866
180,0.327881
181,0.327078
182,0.325681
183,0.324531
184,0.323564
185,0.322092
186,0.320475
187,0.319889
188,0.319456
189,0.318889
190,0.318633
191,0.318518
192,0.318241
193,0.318003
194,0.317984
195,0.317965
196,0.317588
197,0.316508
198,0.315747
199,0.315537
200,0.315352
201,0.315213
202,0.314667
203,0.314265
204,0.313789
205,0.313034
206,0.312388
207,0.312011
208,0.311985
209,0.311971
210,0.311868
211,0.311868
212,0.311837
213,0.311812
214,0.311704
215,0.311425
216,0.310359
217,0.309265
218,0.30848
219,0.307754
220,0.307332
221,0.306858
222,0.30663
223,0.30663
224,0.306627
225,0.30654
226,0.306529
227,0.30642
228,0.305982
229,0.305311
230,0.304728
231,0.303086
232,0.301468
233,0.300805
234,0.300081
235,0.299446
236,0.298976
237,0.297922
238,0.297031
239,0.295763
240,0.294067
241,0.292355
242,0.292048
243,0.292048
244,0.292042
245,0.292042
246,0.291978
247,0.291928
248,0.291923
249,0.291839
250,0.291658
251,0.291432
252,0.291021
253,0.290786
254,0.290755
255,0.29001
256,0.28948
257,0.289385
258,0.289005
259,0.288981
260,0.28898
261,0.288337
262,0.288334
263,0.28814
264,0.287076
265,0.286763
266,0.285841
267,0.285699
268,0.285644
269,0.285603
270,0.285541
271,0.28478
272,0.284306
273,0.283955
274,0.283559
275,0.283497
276,0.283495
277,0.283466
278,0.283406
279,0.283382
280,0.28338
281,0.283379
282,0.283375
283,0.283289
284,0.283289
285,0.283176
286,0.282271
287,0.280423
288,0.27925
289,0.278451
290,0.278415
291,0.278404
292,0.278367
293,0.278083
294,0.27803
295,0.277892
296,0.277857
297,0.277716
298,0.276406
299,0.275753
300,0.274654
301,0.274478
302,0.273692
303,0.273214
304,0.272241
305,0.271913
306,0.271907
307,0.271884
308,0.271769
309,0.27166
310,0.271061
311,0.270624
312,0.269826
313,0.269125
314,0.268183
315,0.267854
316,0.267718
317,0.2677
318,0.267698
319,0.267645
320,0.267542
321,0.267347
322,0.266978
323,0.266682
324,0.266566
325,0.266562
326,0.266375
327,0.26583
328,0.265503
329,0.265415
330,0.265317
331,0.265296
332,0.265285
333,0.26528
334,0.265277
335,0.265133
336,0.265057
337,0.265038
338,0.265003
339,0.264991
340,0.264986
341,0.264986
342,0.26498
343,0.264909
344,0.264821
345,0.264818
346,0.264631
347,0.264586
348,0.264583
349,0.264432
350,0.263553
351,0.262463
352,0.261934
353,0.261603
354,0.261349
355,0.261316
356,0.26129
357,0.261254
358,0.261106
359,0.261008
360,0.260833
361,0.260454
362,0.259956
363,0.257942
364,0.256856
365,0.256445
366,0.256084
367,0.255943
368,0.255882
369,0.255843
370,0.255841
371,0.255819
372,0.255818
373,0.25581
374,0.255802
375,0.255801
376,0.255799
377,0.255628
378,0.255603
379,0.255428
380,0.255425
381,0.255057
382,0.254968
383,0.254499
384,0.254486
385,0.254393
386,0.254154
387,0.253969
388,0.253734
389,0.253655
390,0.253394
391,0.253392
392,0.253241
393,0.253001
394,0.252535
395,0.252253
396,0.251967
397,0.251528
398,0.251205
399,0.250896
400,0.250835
401,0.250734
402,0.25067
403,0.250533
404,0.250341
405,0.250202
406,0.249851
407,0.249719
408,0.249688
409,0.249435
410,0.248911
411,0.248349
412,0.247598
413,0.24666
414,0.246636
415,0.246526
416,0.246236
417,0.245736
418,0.244828
419,0.243682
420,0.243247
421,0.242737
422,0.242159
423,0.241459
424,0.240565
425,0.239176
426,0.238425
427,0.237886
428,0.236856
429,0.235799
430,0.235417
431,0.235409
432,0.235403
433,0.235352
434,0.235342
435,0.23534
436,0.235332
437,0.234992
438,0.234635
439,0.234252
440,0.23362
441,0.233327
442,0.232998
443,0.232466
444,0.232288
445,0.232275
446,0.232273
447,0.231921
448,0.230621
449,0.22969
450,0.228913
451,0.227519
452,0.225457
453,0.223856
454,0.222629
455,0.221976
456,0.220878
457,0.219417
458,0.218296
459,0.21714
460,0.214947
461,0.212904
462,0.211991
463,0.211345
464,0.210689
465,0.209555
466,0.207386
467,0.205409
468,0.20394
469,0.202218
470,0.200295
471,0.198286
472,0.196615
473,0.195215
474,0.194363
475,0.193658
476,0.192961
477,0.192345
478,0.191864
479,0.191416
480,0.191121
481,0.190966
482,0.190606
483,0.189753
484,0.18822
485,0.18623
486,0.18311
487,0.180908
488,0.17754
489,0.174572
490,0.173816
491,0.172713
492,0.172168
493,0.171682
494,0.169928
495,0.167569
496,0.165609
497,0.16354
498,0.161344
499,0.159812
500,0.157565
