index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,component_0,component_1,component_2,component_3,component_4,reconstructed_0,reconstructed_1,reconstructed_2,reconstructed_3,reconstructed_4,reconstructed_5,reconstructed_6,reconstructed_7,reconstructed_8,reconstructed_9,reconstructed_10,reconstructed_11,reconstructed_12,reconstructed_13,reconstructed_14,reconstructed_15,reconstructed_16,reconstructed_17,reconstructed_18,reconstructed_19
10,0,0,-0.246081,1.57972,-0.704465,0,-0.653761,0,0,0.671913,0,0,0,-1.24843,0,0.84204,0,0,0,1.45536,2.55748e-06,-1.48359e-06,2.58805e-06,3.38462e-06,0.0003518,0.00686279,0.0158205,-0.00194176,-7.5657e-05,0.0106974,0.0017518,0.00329689,0.00674886,0.018166,-0.00685445,0.00651147,-0.0146706,-0.0072858,0.000558852,0.0122938,0.84204,0.000732509,0.0016409,0.0123023,0.00338895
11,0,0,0,0,0,0,0,0,0,0,-1.62531,-0.694605,0,0,0,0,0,1.18745,-0.863461,0,1.41518e-06,2.50614e-06,-0.000359218,4.88654e-06,-2.63162e-06,0.00826765,0.0229807,-0.00317417,-0.00742469,-0.000685671,-0.00958008,0.00216239,0.00686384,-0.00117625,-0.000636056,-0.00475158,-0.0105103,0.0122626,-0.00047697,0.00673236,-0.0125094,-0.00977092,-0.00601778,-0.863461,-0.00439886
12,0,0,0,0,0,0,0,0,0,0,0,0.0541179,0,0,0,0,-0.488956,0,0,1.18205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,-0.213735,0,0,0,0.494661,0,0,0.654806,0,0,0,0,0,0,0,0,0,0,-1.10686,8.06351e-07,1.44147e-07,1.29758e-06,-9.20924e-05,-9.13886e-07,-0.00172359,-0.213735,0.000535518,0.00441311,0.00143595,-0.000151314,-0.000222646,0.000400193,-0.00122589,-0.00149648,0.000228332,0.0018332,0.000682254,0.00102971,0.00382011,-0.00427173,0.0026616,-0.000567957,0.00610232,-0.00178698
14,0,0,0,0,0,0,0,0,0,-1.40088,0,0,0.550609,0,0,0,0,0,0.282902,0,-2.2505e-07,0.000220738,0.000116198,-1.92478e-06,-3.754e-08,0.00488175,-0.00906172,-0.0094946,0.00384505,-0.00319396,3.24623e-05,-0.00213357,-0.00301889,0.00400376,0.00747191,0.000782393,0.00249934,0.546592,-0.0147311,-0.00102265,-0.000320078,0.00773629,0.00787868,0.275588,0.00617324
15,1.11723,0,0.536322,0,0,0,0,0,0,0,0,-1.26694,0,0,0,0,0,0,0,-1.57855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1.67256,0,0,0,0,1.24258,0,0,0,0,0.013342,1.0444,-0.631737,-0.387634,0,-1.42379,0,0.000426294,5.71035e-06,-0.000595911,1.99006e-06,-0.000265254,0.00752226,0.0093093,-0.0102986,-0.0212948,-0.000682407,-0.00673711,0.00982118,0.0183815,-0.0177573,0.0164669,-0.0196852,-0.0155683,0.0279912,-0.00214737,1.04628,-0.63784,-0.0292628,0.0123932,-1.44084,0.00667592
17,0,0,0,0,0,0,0,0.991688,0,1.63596,-1.52755,0,0,0,0.645661,1.28377,-0.258795,0,0,0.630448,0.000267184,-1.97451e-06,2.9292e-06,2.97897e-06,0.00053822,0.00986839,0.0137864,-0.00699204,-0.00574654,0.0215479,0.00908418,0.0104228,0.0177862,0.0263425,-0.00280098,0.0056215,-0.0280815,-0.00968303,0.000269913,0.664404,1.29275,-0.00667374,0.0170589,0.0139202,0.0153499
18,0,0,-0.434983,0,1.55485,0.894,0,0,0,0,0,-1.32588,0,0,0,0,0.719639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1.66544,0,0,0,1.45922,0,0,0,0.621518,0,0,0,0.710998,0,0.000252274,-1.787e-06,0.000294811,-6.12334e-06,3.96505e-06,-0.00738014,-0.02887,-0.00126719,0.000693076,0.0056074,0.0140621,0.00341405,0.00156475,-0.000333991,0.00788698,-0.000232242,0.00315334,-0.00872581,-0.000167592,0.615974,0.018944,0.000546448,0.0189681,0.706343,0.0134245
20,0,1.28583,0,0,0,0,0,0,0,0,1.69136,0,0,0,0.634268,0,1.1258,0.798641,-1.58537,0,0.000256386,4.01654e-06,-0.000668351,0.000560859,2.50113e-06,0.024965,1.31787,-0.0130102,-0.0457134,-0.00475139,-0.0103791,0.0106109,0.0175595,0.00388607,0.0153493,-0.0143277,-0.0359402,0.0198102,-0.00764235,0.623647,0.0115515,-0.0416053,0.00666816,-1.62683,0.0126774
21,0.189037,0,0,0,0,-0.412661,0,0,0.241707,0,0,0,0,0,0,0,0,0.315885,-1.45389,0,2.38286e-06,4.21981e-06,-0.000604846,8.22789e-06,-4.43108e-06,0.013921,0.0386946,-0.00534462,-0.0125016,-0.00115452,-0.0161308,0.003641,0.0115572,-0.00198055,-0.00107098,-0.00800065,-0.0176971,0.0206476,-0.000803116,0.0113359,-0.0210632,-0.0164521,-0.0101327,-1.45389,-0.00740673
22,0,0,0,0.345396,0,0,0,0,0,0,0,0,0,0.174548,0,-0.339471,0,0,1.24932,0,-3.07865e-06,-3.02796e-06,0.0005187,-8.43474e-06,-0.000138021,-0.014729,-0.0396283,0.00537545,0.0107731,-0.00332061,0.013155,-0.00445786,-0.012652,-0.00562177,0.00368368,0.00424983,0.0211216,-0.0148052,0.000464814,-0.0146972,-0.321371,0.013842,0.00804545,1.24436,0.00499833
23,1.40188,0,0.384268,0,0,0,0,0,0,-0.707429,0,0,0,0,0.925025,0.486811,0,0,0,0,0.000378681,-4.46006e-07,3.98964e-08,-1.16819e-06,0.000206063,0.00311578,-0.00565815,-0.00689865,-0.00811143,0.0136899,0.0102011,0.00963736,0.0146425,0.00856371,0.00699617,-0.00240439,-0.0166691,-0.0021708,-0.000510886,0.932133,0.499675,-0.0107378,0.0218045,0.000184198,0.0165485
24,0,0,0,0,0,0,0.456682,0,0,0,-0.0809881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-1.2697,0,0,0,0,0,0,0,0,0,-0.489157,-1.41677,0,0.121626,-0.915125,0,0,0,0,0,-0.000373166,-4.07301e-07,1.44075e-06,3.0915e-06,-2.64753e-06,0.000842701,0.0146461,0.00571423,0.00798135,-0.00742505,-0.00909,-0.00764858,-0.0106258,0.00191788,-0.0108417,0.00610286,0.00809992,-0.00201951,0.000825051,-0.915125,-0.0127266,0.0110419,-0.0206326,0.00685401,-0.014433
26,0.0513511,0,0,0,0,0.75513,0,0,0,0,0,0,0,0,0.319499,0,0,0,0,0,0.000130284,1.42202e-07,-5.03012e-07,-1.07934e-06,9.24337e-07,-0.000294214,-0.00511341,-0.00199502,-0.00278654,0.00259232,0.00317361,0.00267036,0.00370981,-0.000669591,0.00378517,-0.0021307,-0.00282794,0.000705075,-0.000288052,0.319499,0.00444327,-0.00385506,0.0072035,-0.00239295,0.00503904
27,0,0,0,0,0.379182,0,0,0,-1.70083,0,0,0,-1.42563,-1.54017,0.195683,-1.57199,0,0,1.41486,0,7.20833e-05,-0.000574907,0.000587341,-1.41485e-05,-0.000649562,-0.0461929,-0.0663551,0.0348803,0.0069435,-0.00840818,0.022414,-0.00437284,-0.0195804,-0.0417651,-0.00264964,-0.00367018,0.0453232,-1.43169,0.038108,0.158637,-1.53733,0.000540009,-0.00408524,1.40936,-0.0082847
28,-0.824138,0,0,0.174768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,-0.44688,0,0,0.845786,0,1.71392,0,0,0.785757,0.000344891,3.7644e-07,-1.33158e-06,-2.85725e-06,2.44692e-06,-0.000778849,-0.0135363,-0.00528126,-0.0073766,0.00686245,0.00840125,0.00706904,0.00982068,-0.00177256,0.0100202,-0.00564044,-0.00748618,0.00186649,-0.000762536,0.845786,0.0117623,-0.0102052,0.0190693,-0.00633468,0.0133394
30,0,0,0,0,0,0.588077,0,0,-0.369324,-0.218246,0,1.16304,0,0,0,0,0,-0.375291,0,0.448444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,-0.00890048,0,0,0.891483,0,0,-0.227805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,-0.354338,0,0,0,0,0,0,0,0,0,0.2899,0,0,-1.21568,0,0,0,0,-3.56669e-06,0.000118794,-4.52343e-06,-5.05694e-06,-0.000508379,-0.00591155,-0.0236474,-0.00274314,0.000852894,-0.0172441,-0.00416463,-0.00551015,-0.010149,-0.0243217,0.0137203,-0.00980854,0.0206833,0.300418,-0.00864513,-0.017126,-1.21801,0.00133015,0.000741072,-0.021612,-0.00240131
33,0,0.950441,0,0,0,0,0,0,0,1.41571,0,0,0,0,0.317325,-0.589362,0,0,0,0,0.000124022,5.38636e-07,-8.08112e-06,0.000406078,-0.00024125,0.00256887,0.934289,-0.00300372,-0.022339,-0.0112981,0.00259876,0.00133469,-0.00281871,-0.00792845,0.0152116,-0.00768908,-0.000692354,0.0027659,-0.0052562,0.291733,-0.565954,-0.0161772,0.00853159,-0.0381233,0.0105791
34,-1.69789,-0.57248,0,0,0,-0.518102,0,0,0,0,0,0,0,0,0,-0.483405,0,0,0,0,6.91556e-07,1.23781e-06,1.98974e-06,-0.000248609,-0.000204412,-0.0085564,-0.581562,0.00254911,0.0118638,-0.00229513,-0.00141098,-0.00248905,-0.00280254,-0.0137124,-7.31982e-05,-0.00312658,0.0133324,0.00601008,0.00243721,0.00317429,-0.494847,0.00670847,-0.00246327,0.00928221,-0.00673192
35,0,0,0.128426,0,0,0,0,0,0,0,1.65444,0,0,0,0.298298,0,0,0,0,0,0.000121638,1.32765e-07,-4.69632e-07,-1.00772e-06,8.62998e-07,-0.00027469,-0.00477408,-0.00186263,-0.00260163,0.00242029,0.00296301,0.00249316,0.00346362,-0.000625157,0.00353399,-0.00198931,-0.00264028,0.000658287,-0.000268937,0.298298,0.00414842,-0.00359924,0.00672548,-0.00223416,0.00470465
36,0,0,1.56865,0,0,0,0,0,0.209047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1.61548,0,1.57637,-1.23526,0,0,0,0,0,-1.29606,0.485471,0,0.426284,0,-0.481075,0,0.218256,-0.528809,0,-6.68913e-06,1.29293e-06,-0.000231282,0.000697126,-0.000195695,0.01417,1.62052,-0.00488222,-0.0378598,-0.017385,-0.00572427,0.00112357,-0.00267695,-0.0018332,0.0148375,-0.00835596,-0.0119112,0.0065158,-0.00839433,-0.0317743,-0.456449,-0.0265198,-0.00033012,-0.581961,0.0088765
38,0,0.861793,0,-0.0646477,1.04472,0,0,0,0,0,0,-0.218997,0,1.66896,0,0,0,0,-1.33051,0,-1.07061e-06,3.2805e-06,-0.00055875,0.000378852,-3.70205e-07,0.0196892,0.897203,-0.00705031,-0.0292346,-0.0068464,-0.0141518,0.00422974,0.00896287,0.00313041,0.0050538,-0.00824235,-0.0235869,0.0161445,-0.00488683,-0.00502905,-0.00205183,-0.0257877,-0.00698274,-1.35511,0.000427051
39,0,0,0,0,0,0,0,0,0,-1.50711,0,0,0,-0.3352,0,0,0,-1.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,-0.376205,0,0,0,0.807263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,-1.74732,-0.286339,0,0,1.60793,0,0,0,0,0.903776,0,0,0,0,2.74499e-06,-1.59237e-06,2.77779e-06,3.63277e-06,0.000377593,0.00736595,0.0169804,-0.00208413,-8.12039e-05,0.0114817,0.00188024,0.00353861,0.00724367,0.0194978,-0.007357,0.00698887,-0.0157462,-0.00781998,0.000599826,0.0131951,0.903776,0.000786214,0.00176121,0.0132043,0.00363742
42,0,0,1.56145,0,0,-1.0932,0,-1.60025,0,0,1.63893,-0.0892499,1.19408,0,-1.60279,0,-0.874959,0,0,0,-0.000653062,0.00047977,-7.18155e-07,4.71246e-06,-6.58826e-06,0.0179372,0.0223286,-0.0128376,0.017042,-0.0204183,-0.0226572,-0.0164866,-0.0202805,0.011206,-0.00323657,0.00900944,0.0121389,1.19054,-0.0308404,-1.60023,-0.0318725,0.029174,-0.0233266,-0.00385658,-0.0150166
43,0,0,0,0.111362,0,0,0,0,-0.282632,0,-1.72004,0,0,-1.49049,0,0,0,0.127397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.936574,0,0,0,0,0,0,0,0,0,0,0,1.29492,-0.254374,0,0,0,1.00685,0,0,5.61175e-07,0.000521062,-3.51532e-06,-7.61436e-07,-2.11604e-06,0.0178514,-0.0036039,-0.0247752,0.0033218,-0.00803988,-0.00730546,-0.00335153,-0.001811,0.0085097,0.0170824,-0.00182123,-0.00222063,1.29492,-0.0350121,0.00278245,-0.0103917,0.0106654,0.0138922,-0.0172006,0.0111288
45,0,1.61701,0,0,0,-0.919763,-1.34352,0,0,0,1.13775,0.440683,0,0,0,0,0,0,0,1.34912,-6.10045e-06,-1.09055e-06,-9.81682e-06,0.000696725,6.91401e-06,0.0130398,1.61701,-0.00405146,-0.0333874,-0.0108637,0.00114477,0.00168443,-0.00302766,0.00927451,0.0113216,-0.00172745,-0.0138691,-0.00516159,-0.00779029,-0.028901,0.0323178,-0.0201364,0.00429688,-0.0461671,0.0135194
46,-0.939578,0,0,0,0,0,-0.833836,0,1.57895,1.06515,0,0,0,-1.20071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.70659,0,0.0618861,0.225033,0,0,0.809343,0,-0.878387,0,0,0,0,-1.36678,0,0,1.61049,0,-1.72743,-1.33505,2.83118e-06,5.01374e-06,-0.000718644,9.77592e-06,-5.26477e-06,0.0165401,0.0459747,-0.00635018,-0.0148537,-0.00137174,-0.0191657,0.00432603,0.0137317,-0.00235318,-0.00127248,-0.00950592,-0.0210267,0.0245324,-0.000954218,0.0134686,-0.0250261,-0.0195475,-0.0120391,-1.72743,-0.00880027
48,0,0,-0.572164,1.12568,0,0,0,0,0.458713,0,0,0,0,0,0,0,-0.552934,0,-1.38423,0.668961,2.2687e-06,4.01764e-06,-0.000575868,7.83369e-06,-4.21879e-06,0.013254,0.0368407,-0.00508856,-0.0119026,-0.00109921,-0.015358,0.00346656,0.0110035,-0.00188566,-0.00101967,-0.00761733,-0.0168492,0.0196584,-0.000764639,0.0107928,-0.020054,-0.0156639,-0.0096472,-1.38423,-0.00705188
49,0,0,0,0,0,0,1.70842,0,0,0,0,0,0,-0.447664,-0.858511,1.56551,0,0,0,-1.36025,-0.000345325,-3.14038e-06,6.16328e-06,9.19288e-06,0.000651579,0.0135498,0.0431533,0.00175062,0.00734692,0.0129228,-0.00527072,-0.00104586,0.00257897,0.0355732,-0.0229147,0.0178314,-0.0196766,-0.0154403,0.00181302,-0.835655,1.55357,0.0117206,-0.0163054,0.0293023,-0.00723944
50,0,0,0,0,0,0,0,-1.19408,0,-1.17291,-0.268635,0,0,0,-0.316879,-0.94734,0,0,0,0,-0.000132093,1.52808e-06,-2.4128e-06,-2.73738e-06,-0.00039671,-0.0074292,-0.0127275,0.00416325,0.00284881,-0.0146062,-0.00511845,-0.00635764,-0.0112722,-0.0197736,0.00395749,-0.00521252,0.0193099,0.00749762,-0.000343049,-0.33071,-0.951747,0.00299934,-0.00899053,-0.0114674,-0.00881047
51,0,0,0,0,0,0,0,0,0,0,1.62666,-0.0983854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,-1.51739,0,0,0,0.96217,0,0,0,0,-1.24329,0,2.0377e-06,3.60855e-06,-0.000517232,7.03605e-06,-3.78923e-06,0.0119045,0.0330895,-0.00457043,-0.0106907,-0.000987288,-0.0137942,0.00311359,0.00988314,-0.00169366,-0.000915847,-0.00684173,-0.0151336,0.0176568,-0.000686782,0.00969383,-0.0180121,-0.014069,-0.00866491,-1.24329,-0.00633384
53,0,0,-1.49262,0,-1.43798,-0.478361,0,-1.02136,0,-1.011,-1.57837,0,-1.29984,0.322678,0,0,0,1.55978,0,0,-5.63306e-07,-0.000523041,3.52867e-06,7.64328e-07,2.12408e-06,-0.0179192,0.00361759,0.0248693,-0.00333442,0.00807042,0.00733321,0.00336426,0.00181788,-0.00854203,-0.0171472,0.00182815,0.00222907,-1.29984,0.0351451,-0.00279302,0.0104312,-0.0107059,-0.013945,0.0172659,-0.011171
54,0,0.1386,-0.16152,0,0,0,1.09325,0,0,0,0,-0.957917,-0.563517,0,0,0,0,0,0,0,-7.67099e-07,-0.000226846,6.88342e-07,6.00501e-05,1.51347e-06,-0.0066508,0.140168,0.0104343,-0.00430731,0.00256758,0.00327727,0.00160288,0.00052859,-0.00290825,-0.00646338,0.000644487,-0.000222406,-0.56396,0.0145686,-0.00368806,0.00729227,-0.00636725,-0.00567722,0.00352809,-0.00368415
55,0,0,0,0,0,0,0.137659,-1.11384,-0.288162,0.438835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,-1.00824,0,0,0,0,0,-1.10532,0,-1.0947,-0.0277155,0,-0.193795,0,0,0,0,-0.259056,0,4.24583e-07,7.51894e-07,-0.000107773,1.46606e-06,-7.8954e-07,0.00248046,0.00689468,-0.000952315,-0.00222756,-0.000205716,-0.00287422,0.000648761,0.00205929,-0.000352899,-0.00019083,-0.00142557,-0.00315331,0.00367904,-0.000143101,0.00201985,-0.00375308,-0.00293148,-0.00180546,-0.259056,-0.00131975
57,-1.68272,0,0,0,0,0,-0.365609,-0.184962,0,0,0,0,0,0,-0.858445,0,0,0,0,0,-0.000350053,-3.82074e-07,1.35152e-06,2.90002e-06,-2.48355e-06,0.000790507,0.0137389,0.00536031,0.00748701,-0.00696516,-0.008527,-0.00717485,-0.00996767,0.00179909,-0.0101702,0.00572487,0.00759823,-0.00189443,0.00077395,-0.858445,-0.0119384,0.010358,-0.0193547,0.00642949,-0.0135391
58,0.305527,-1.00555,0,0,0,0,-1.62771,0,0,1.18523,-0.626985,0,0,0,1.60265,0,0.485213,-0.131977,0,0,0.000657315,1.39147e-06,3.5815e-06,-0.000438679,3.37059e-07,-0.00958473,-1.0312,-0.00748784,0.00678459,0.0197591,0.0152074,0.0123474,0.0204916,-0.00912619,0.0119465,-0.00961365,-0.00556069,0.00674653,0.00339956,1.62062,0.00219095,-0.00681553,0.0334616,0.016706,0.0168693
59,0,0,0,0.782999,0,0,0.101752,0,0,0,-0.837521,0,-0.434028,0,0,1.27585,0,0,0,0.36658,3.68698e-06,-0.000176896,5.09964e-06,5.38356e-06,0.000533754,0.00441505,0.0251791,0.00536193,-0.00122803,0.0189034,0.00510293,0.00611877,0.0108328,0.0246727,-0.0161114,0.0104766,-0.0214845,-0.445067,0.012582,0.0176948,1.27934,-0.00246489,-0.00217005,0.0244055,0.00140482
60,0,0,0,0,0.556834,-1.55241,-0.338023,0.995467,0,0,-0.322565,0,0,0.901474,0,0,-1.3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0.38144,0,1.19528,1.09775,0,0,0,0,0.000490904,0.000152085,4.56674e-07,1.50242e-07,0.000461469,0.0131046,0.000433559,-0.0172929,-0.00954487,0.0212759,0.0120046,0.0133009,0.0221436,0.0236843,0.0102566,-1.8767e-05,-0.0303595,0.37458,-0.0106624,1.21213,1.11131,-0.0103256,0.0331804,0.00201929,0.0265478
62,0,0.709521,-1.68247,0,0,0,-0.911442,-1.50896,-0.51054,0,0.382448,0,0,0,0,0.13581,0,0,0,0,-2.2643e-06,-7.178e-07,-3.89006e-06,0.000306259,5.97746e-05,0.00682856,0.712072,-0.0020909,-0.0146621,-0.00304148,0.000784851,0.00127085,-0.00023999,0.00699945,0.00386222,0.000292236,-0.00845173,-0.00343994,-0.00332813,-0.0106985,0.149991,-0.0087174,0.00215007,-0.0182732,0.00647872
63,0,0,1.05592,0,0,0,0,-0.245644,0,-0.445642,0,0,0,0,0,0,0,0,0,1.13769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,-0.494612,0,0,0,-0.257,0,0,0,1.1784,0,0,0,0,-0.983563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0.47296,0,0,0,0,0,0.350211,0,0.937194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,-0.927474,0,0.529118,0,0,-1.4772,0,0,0.569056,0,0,0,0,0,-1.13468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-1.7096,0,-0.0824446,0,0,-1.65019,0,0,-0.264702,0,0,0,0,0,0.370939,0,0,0,0,0,0.00015126,1.65097e-07,-5.83997e-07,-1.25312e-06,1.07316e-06,-0.000341583,-0.00593667,-0.00231622,-0.00323518,0.00300969,0.00368456,0.00310029,0.00430709,-0.000777396,0.00439458,-0.00247375,-0.00328324,0.000818593,-0.000334428,0.370939,0.00515864,-0.00447573,0.00836327,-0.00277822,0.00585033
68,0,0.15939,0,0,0,-0.47026,0,0,-0.00776807,1.21037,0,-1.30827,-0.412124,1.26695,0.997943,0,0,0,0,0,0.000406157,-0.000165497,-1.42e-06,6.55476e-05,4.2421e-06,-0.00531505,0.144565,0.00125428,-0.0130519,0.00958495,0.0123505,0.00957346,0.0118654,-0.00388556,0.00750214,-0.00624581,-0.00949329,-0.410431,0.00947539,0.994209,0.0203712,-0.0174204,0.018502,-0.00655073,0.01353
69,0,0.230905,0,0,1.58971,0,0,1.15829,0,1.1195,0,0,0,0,0,0,0,0,0,1.32107,-8.71127e-07,-1.55727e-07,-1.40182e-06,9.94904e-05,9.87301e-07,0.00186205,0.230905,-0.000578538,-0.00476763,-0.00155131,0.00016347,0.000240532,-0.000432342,0.00132437,0.0016167,-0.000246675,-0.00198047,-0.000737061,-0.00111243,-0.00412699,0.00461489,-0.00287542,0.000613583,-0.00659253,0.00193054
