index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,reconstructed_0,reconstructed_1,reconstructed_2,reconstructed_3,reconstructed_4,reconstructed_5,reconstructed_6,reconstructed_7,reconstructed_8,reconstructed_9,reconstructed_10,reconstructed_11,reconstructed_12,reconstructed_13,reconstructed_14,reconstructed_15,reconstructed_16,reconstructed_17,reconstructed_18,reconstructed_19
10,0,0,-0.246081,1.57972,-0.704465,0,-0.653761,0,0,0.671913,0,0,0,-1.24843,0,0.84204,0,0,0,1.45536,-0.000288503,-4.11506e-06,-0.000291204,0.000344935,-0.000118114,-5.16875e-06,0.000646715,8.30467e-06,-3.09601e-06,0.000288011,0.0315356,-0.0258823,-0.335855,1.61725,-0.722957,-0.0189791,-0.681045,-0.0165597,0.033024,0.674408,0.0368448,-0.0106165,0.0219855,-0.00710913,-0.009563,0.809104,-0.000593027,-0.0157645,0.040126,-0.0206567
11,0,0,0,0,0,0,0,0,0,0,-1.62531,-0.694605,0,0,0,0,0,1.18745,-0.863461,0,-2.15615e-07,-3.98529e-06,8.99568e-07,-2.63106e-06,-1.25639e-06,4.8855e-06,-2.98552e-06,-0.000359142,2.8731e-06,-3.71746e-07,0.00828486,0.0231413,-0.00592888,-0.0147119,-0.000958372,-0.0188204,0.00411662,0.0138386,-0.00125096,-0.00161099,-0.00492745,-0.010554,0.00610045,-0.000251608,0.00332581,-0.0124538,-0.00994937,-0.00625517,-0.863461,-0.0042946
12,0,0,0,0,0,0,0,0,0,0,0,0.0541179,0,0,0,0,-0.488956,0,0,1.18205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,-0.213735,0,0,0,0.494661,0,0,0.654806,0,0,0,0,0,0,0,0,0,0,-1.10686,-2.99752e-06,0.00021099,2.37496e-06,-5.0553e-07,7.53902e-08,-9.18552e-05,2.72764e-07,3.70024e-06,1.06183e-07,-1.69036e-06,-0.004182,-0.212769,0.000262441,0.00130382,-0.014391,0.494236,0.0108517,0.000314971,-0.00349121,-0.00788683,0.00225767,0.00342109,-0.00267142,0.00581635,0.0069198,-0.00233835,0.00742096,-0.00237321,0.0174928,-0.00345869
14,0,0,0,0,0,0,0,0,0,-1.40088,0,0,0.550609,0,0,0,0,0,0.282902,0,-2.95286e-06,4.22627e-06,-2.03488e-06,5.93465e-06,1.2296e-05,-5.91508e-06,-2.54541e-06,0.000117029,3.53059e-06,-0.000599684,0.0259508,-0.0273953,0.0591171,-0.0124203,-0.0135018,0.0199322,-0.00976994,0.0173334,0.00129141,-1.40035,-0.00801349,0.0349784,-0.0222313,0.0158705,-0.0184874,0.0278713,-0.0102199,0.00826566,0.280132,0.00945268
15,1.11723,0,0.536322,0,0,0,0,0,0,0,0,-1.26694,0,0,0,0,0,0,0,-1.57855,3.72201e-06,-1.53738e-07,-2.66204e-06,-4.96576e-07,0.000217658,-5.17269e-07,-3.63199e-06,7.43491e-07,2.62953e-06,-4.09005e-06,-0.00505336,-0.00248106,0.536322,-0.0179514,0.0183427,-0.000834713,-0.0125562,0.0131578,-0.0057696,-0.0196769,0.00521952,0.0106738,-0.01055,-0.00812528,-0.00327372,-0.00219145,0.00413632,0.00459082,0.00350852,-0.0018083
16,0,0,0,1.67256,0,0,0,0,1.24258,0,0,0,0,0.013342,1.0444,-0.631737,-0.387634,0,-1.42379,0,-7.77794e-06,-1.20079e-05,-5.31464e-06,-0.000268132,-1.27004e-05,-7.58099e-06,0.000671567,-0.00058867,-3.90683e-07,5.31899e-06,0.0313993,-0.0363849,-0.062637,1.64834,-0.0382533,-0.0570269,-0.0254424,-0.00265621,-0.00487352,0.0259267,0.0157495,0.00539247,0.0180424,-0.004742,-0.0137379,-0.652369,-0.0250101,-0.0187828,-1.40602,-0.0262641
17,0,0,0,0,0,0,0,0.991688,0,1.63596,-1.52755,0,0,0,0.645661,1.28377,-0.258795,0,0,0.630448,1.45069e-05,-2.53402e-06,-1.49152e-07,0.000533465,-1.02155e-05,9.44171e-06,2.35521e-06,1.50921e-06,0.000404108,0.000693156,-0.00880846,0.0436427,-0.0476958,0.0108526,0.0698715,-0.0122845,-0.000422989,0.986976,0.0179055,1.60113,0.0211807,-0.0518365,0.0161058,-0.00639682,0.0411198,1.27137,0.00255267,-0.0199148,0.00658034,0.00798713
18,0,0,-0.434983,0,1.55485,0.894,0,0,0,0,0,-1.32588,0,0,0,0,0.719639,0,0,0,0.000618992,0.000371381,1.49272e-05,8.85805e-06,-0.000166109,-3.22784e-06,-3.77667e-06,4.10737e-06,4.15125e-06,4.45886e-06,-0.0289571,-0.0151046,-0.383765,-0.0184756,1.50864,0.845756,0.0696058,0.020218,0.00093014,0.0209089,0.000942934,-0.0189343,-0.00688281,0.0212739,0.0245481,0.042718,-0.00510324,0.0165395,0.0192971,0.0048751
19,0,0,0,0,0,0,1.66544,0,0,0,1.45922,0,0,0,0.621518,0,0,0,0.710998,0,1.0545e-05,1.19883e-05,0.00072629,5.09393e-06,-8.52548e-06,-3.25734e-06,-4.24625e-06,0.000293815,-1.05144e-05,2.45682e-06,-0.0104164,-0.0150914,-0.0402103,-0.0196664,0.0493798,0.0554853,1.66205,-0.0498912,-0.00564621,0.0117346,-0.000380012,-0.00886131,-0.00948502,-0.00584306,0.0127119,0.0241523,0.0153134,-0.00822209,0.70225,0.0102272
20,0,1.28583,0,0,0,0,0,0,0,0,1.69136,0,0,0,0.634268,0,1.1258,0.798641,-1.58537,0,-4.14961e-06,-6.80013e-06,2.22697e-06,6.64656e-07,-3.70286e-06,0.000562747,-1.68965e-05,-0.000667209,4.18558e-06,3.32481e-06,0.0251674,1.32832,-0.0175819,-0.0816851,-0.0194594,-0.0319976,0.0105373,0.0203742,0.00492396,0.0154454,-0.0109659,-0.0309378,0.00943942,-0.00676929,-0.0046666,0.00269509,-0.034073,-0.00784179,-1.62233,0.00323395
21,0.189037,0,0,0,0,-0.412661,0,0,0.241707,0,0,0,0,0,0,0,0,0.315885,-1.45389,0,2.6581e-06,-0.000182796,-5.46361e-07,-4.77046e-06,-1.9848e-06,8.06326e-06,-3.67164e-06,-0.000606723,4.9002e-06,2.28517e-07,0.0160581,0.0381594,-0.00927338,-0.018278,0.0128461,-0.444351,-0.00253438,0.0237367,-0.000195178,0.00131492,-0.00991412,-0.0190217,0.0127447,-0.0044012,0.00132111,-0.0225634,-0.0207517,-0.00905775,-1.46335,-0.00588771
22,0,0,0,0.345396,0,0,0,0,0,0,0,0,0,0.174548,0,-0.339471,0,0,1.24932,0,-2.32774e-06,4.47842e-06,-3.04164e-06,-0.000137971,-1.72214e-07,-1.11378e-05,0.000144009,0.00051972,-5.91464e-06,2.48299e-06,-0.010052,-0.0527832,-0.00143377,0.366703,-0.0115632,0.0210896,-0.0142084,-0.0286742,-0.00327563,0.011611,0.0104488,0.0235959,-0.0062455,-0.000703282,-0.0103112,-0.321472,0.012467,0.00690933,1.24995,0.00138366
23,1.40188,0,0.384268,0,0,0,0,0,0,-0.707429,0,0,0,0,0.925025,0.486811,0,0,0,0,3.71809e-06,1.7493e-06,-2.00291e-06,0.000205543,0.000161473,-5.93076e-07,-4.35758e-06,1.70577e-06,5.76941e-06,-0.000307504,0.0148795,-0.00268392,0.411035,-0.021598,0.018688,0.00815482,-0.00953103,0.0283672,0.00680434,-0.729394,0.00262963,0.0151382,-0.0199482,0.00255583,-0.00756842,0.497255,-0.00349032,0.00734218,0.00819545,0.00479073
24,0,0,0,0,0,0,0.456682,0,0,0,-0.0809881,0,0,0,0,0,0,0,0,0,2.84288e-06,2.38748e-06,0.000199359,8.02734e-07,-2.62146e-06,2.09914e-07,-1.83847e-06,-5.2422e-07,-2.23444e-06,5.89749e-07,-0.000985637,0.00108693,-0.0123648,-0.00871459,0.0133241,0.0109651,0.456682,-0.010556,-0.00183071,0.002854,-0.00121679,-0.00481289,-0.00122346,-0.00165904,0.00423667,0.00381084,0.0019526,-0.00366696,-0.00239895,0.00183471
25,-1.2697,0,0,0,0,0,0,0,0,0,-0.489157,-1.41677,0,0.121626,-0.915125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0513511,0,0,0,0,0.75513,0,0,0,0,0,0,0,0,0.319499,0,0,0,0,0,-5.52841e-06,0.00032222,3.77151e-06,6.22744e-07,-2.39158e-07,2.9806e-07,-2.48014e-06,3.66872e-06,-1.14394e-07,-1.56358e-06,-0.00385777,0.00147427,-0.00129849,-0.0118829,-0.02646,0.75513,0.0173217,-0.000796653,-0.00349727,-0.00736991,0.00295957,0.00228918,-0.00452503,0.00727852,0.00782986,0.00291647,0.00731796,-0.00269842,0.0173254,-0.00245843
27,0,0,0,0,0.379182,0,0,0,-1.70083,0,0,0,-1.42563,-1.54017,0.195683,-1.57199,0,0,1.41486,0,0.000145315,2.79562e-06,-1.97812e-06,-0.000650415,6.20993e-06,-1.5298e-05,3.89101e-06,0.000583745,-8.39654e-06,6.75507e-06,-0.0335187,-0.0719021,0.0293794,0.0195776,0.340315,0.013092,-0.00926107,-0.0404132,-0.0317384,0.0313767,-0.00363364,0.0413385,-0.00544128,0.000585051,-0.0138762,-1.54244,0.0126232,0.0130195,1.39239,0.00204424
28,-0.824138,0,0,0.174768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28436,-4.25981e-07,-5.1591e-07,-6.0413e-07,8.10532e-09,-1.17529e-06,-1.36864e-06,7.06904e-05,5.71705e-07,-3.1522e-07,3.92407e-07,0.00239919,-0.00655528,-0.00580896,0.174768,-0.00213397,-0.00247184,-0.00286365,-0.00159112,0.00112914,0.00192001,0.00300343,0.00123923,0.000539651,-0.000397271,-0.0015254,-1.00403e-05,-0.000851173,-0.000760973,0.00281722,-0.00173004
29,0,0,0,0,0,0,0,0,0,0,0,-0.44688,0,0,0.845786,0,1.71392,0,0,0.785757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0.588077,0,0,-0.369324,-0.218246,0,1.16304,0,0,0,0,0,-0.375291,0,0.448444,-4.77643e-06,0.000251392,2.66605e-06,1.27525e-06,1.66524e-06,-4.40031e-07,-2.48042e-06,2.75752e-06,6.07606e-07,-9.4663e-05,0.00146149,-0.00193864,0.00789613,-0.0119401,-0.0227588,0.590221,0.0121777,0.00278637,-0.00258625,-0.223986,0.000804881,0.00669341,-0.00667606,0.008128,0.00338726,0.00597774,0.00359901,-0.00113302,0.013061,-0.00066112
31,0,0,0,0,-0.00890048,0,0,0.891483,0,0,-0.227805,0,0,0,0,0,0,0,0,0,1.57025e-07,-6.5209e-08,-3.86503e-06,2.80516e-06,4.36273e-06,-6.56348e-07,-1.61722e-06,-2.86259e-06,0.000364076,-2.60645e-06,0.0127971,-0.00303038,0.0218352,-0.00816398,0.00972059,-0.000581556,-0.0182575,0.891301,-0.00785559,-0.0127399,2.89987e-05,0.00654339,-0.00155525,0.00982991,0.0101821,0.0136142,-0.012634,-0.0136772,-0.0137872,0.0107935
32,0,0,-0.354338,0,0,0,0,0,0,0,0,0,0.2899,0,0,-1.21568,0,0,0,0,-8.89732e-06,-8.58881e-07,-1.96989e-07,-0.000507452,-0.000142611,-4.54353e-06,2.33949e-06,-4.22674e-06,-5.80055e-06,6.89068e-06,-0.0067114,-0.0210838,-0.34908,0.0119346,-0.0433904,-0.00394658,-0.000988927,-0.0284136,-0.0223916,0.0326444,-0.0128179,0.0139921,0.0123941,0.00435765,-0.00673436,-1.21423,-0.00361477,-0.005315,-0.0199997,-0.00385819
33,0,0.950441,0,0,0,0,0,0,0,1.41571,0,0,0,0,0.317325,-0.589362,0,0,0,0,-2.84037e-06,-3.03487e-06,1.23567e-06,-0.000247236,-1.24645e-05,0.000411324,-4.90576e-06,-6.93247e-06,-7.29456e-06,0.00061115,-0.026482,0.959448,-0.0601806,-0.0229533,-0.0142815,-0.0142018,0.0062111,-0.0353808,-0.00825698,1.43884,0.00376924,-0.0301968,0.0217744,-0.0211073,0.00530558,-0.594511,0.00151215,-0.00469549,-0.0330917,-0.00236162
34,-1.69789,-0.57248,0,0,0,-0.518102,0,0,0,0,0,0,0,0,0,-0.483405,0,0,0,0,2.90422e-06,-0.000221691,-3.6215e-06,-0.000204788,1.25939e-06,-0.0002487,6.75992e-06,-5.28622e-07,-1.05212e-06,9.54132e-07,-0.00578204,-0.582527,0.00596285,0.0325242,0.0135999,-0.52103,-0.0169028,-0.00505366,-0.0112349,0.00467444,-0.00490196,0.0119441,0.00604565,-0.00258756,-0.0041137,-0.496787,0.00166522,-0.000677964,-0.00246302,-0.00527294
35,0,0,0.128426,0,0,0,0,0,0,0,1.65444,0,0,0,0.298298,0,0,0,0,0,8.9126e-07,-3.68137e-08,-6.37444e-07,-1.18908e-07,5.21197e-05,-1.23863e-07,-8.69705e-07,1.78034e-07,6.29657e-07,-9.79389e-07,-0.00121006,-0.000594106,0.128426,-0.00429858,0.00439228,-0.000199878,-0.00300667,0.00315072,-0.00138157,-0.00471176,0.00124985,0.00255591,-0.00252627,-0.00194565,-0.000783915,-0.000524756,0.000990469,0.0010993,0.000840139,-0.000433008
36,0,0,1.56865,0,0,0,0,0,0.209047,0,0,0,0,0,0,0,0,0,0,0,1.08863e-05,-4.49659e-07,-7.78603e-06,-1.4524e-06,0.000636613,-1.51293e-06,-1.0623e-05,2.17459e-06,7.69093e-06,-1.19627e-05,-0.0147802,-0.00725669,1.56865,-0.0525048,0.0536493,-0.0024414,-0.0367248,0.0384844,-0.0168751,-0.0575515,0.0152662,0.0312191,-0.0308571,-0.0237651,-0.0095751,-0.00640961,0.012098,0.0134274,0.0102618,-0.00528896
37,0,1.61548,0,1.57637,-1.23526,0,0,0,0,0,-1.29606,0.485471,0,0.426284,0,-0.481075,0,0.218256,-0.528809,0,-0.0005106,1.29589e-06,-1.15458e-05,-0.000201707,-2.11575e-05,0.000687642,0.000624428,-0.000226365,-9.16047e-06,7.62636e-06,0.0578783,1.57652,-0.104271,1.51377,-1.28971,0.00647764,-0.0541563,-0.0452952,0.00781039,0.036362,0.0166255,0.00883613,0.016547,-0.0168815,-0.0388064,-0.486461,-0.025705,-0.0256567,-0.558126,-0.0112848
38,0,0.861793,0,-0.0646477,1.04472,0,0,0,0,0,0,-0.218997,0,1.66896,0,0,0,0,-1.33051,0,0.000419646,-1.24713e-05,7.57415e-06,4.81184e-06,4.75595e-06,0.0003765,-4.09437e-05,-0.000558595,8.12673e-06,3.97872e-06,-0.000590455,0.887202,0.0239726,-0.136704,1.03217,-0.0592424,0.0355467,0.0399272,0.00275708,0.0183303,-0.00886603,-0.0331953,0.00124564,-0.000391641,0.00695041,0.0231339,-0.0326053,0.0088461,-1.35522,0.00572053
39,0,0,0,0,0,0,0,0,0,-1.50711,0,0,0,-0.3352,0,0,0,-1.0605,0,0,-3.25278e-06,3.14202e-06,-1.87211e-06,5.45729e-06,1.27856e-05,-4.64159e-06,-3.79078e-06,-6.87686e-07,4.81105e-06,-0.000645292,0.030839,-0.0213159,0.0615103,-0.0185479,-0.0148635,0.0148099,-0.0090598,0.0235258,0.0009484,-1.50711,-0.010358,0.0339108,-0.0217669,0.0169853,-0.0187171,0.0255952,-0.0145019,0.00668764,-0.00298014,0.00865575
40,0,0,0,0,-0.376205,0,0,0,0.807263,0,0,0,0,0,0,0,0,0,0,0,-0.000152083,2.4731e-06,-2.00898e-06,-1.86743e-06,-2.59014e-06,9.67885e-07,9.16083e-07,-8.87925e-08,-1.5532e-06,-7.24116e-07,0.00689295,0.00456384,-0.0127646,0.00458915,-0.376205,0.0118368,-0.00941573,-0.00770214,-9.46383e-05,-0.00330883,-0.000404642,0.00314241,0.00243945,-0.00146791,-0.00305427,-0.00907041,0.00251931,-0.00567571,-0.000394667,-0.00152893
41,0,0,0,0,0,0,-1.74732,-0.286339,0,0,1.60793,0,0,0,0,0.903776,0,0,0,0,-7.29693e-06,-8.38103e-06,-0.000760095,0.000373513,7.72335e-06,3.04688e-06,7.60532e-06,5.70162e-06,-0.000105381,-4.53862e-06,0.00718473,0.0137423,0.0362902,0.0359449,-0.0337121,-0.0383333,-1.73463,-0.23129,0.0290075,-0.0214571,0.0116087,0.000692043,0.00116687,0.00393052,-0.0128892,0.884754,-0.00273809,0.0200766,0.0267492,-0.00674179
42,0,0,1.56145,0,0,-1.0932,0,-1.60025,0,0,1.63893,-0.0892499,1.19408,0,-1.60279,0,-0.874959,0,0,0,1.20992e-05,-0.000466705,-6.35774e-06,-7.46196e-06,0.000626095,-7.18206e-07,-4.0418e-06,1.98807e-06,-0.000645774,-4.99624e-06,-0.031806,-0.00372421,1.52359,-0.0202112,0.0582837,-1.09409,-0.0292597,-1.56078,0.00236245,-0.0238897,0.0108423,0.0161495,-0.0212691,-0.0519005,-0.0392734,-0.0354256,0.0242338,0.0415822,0.00986457,-0.0211453
43,0,0,0,0.111362,0,0,0,0,-0.282632,0,-1.72004,0,0,-1.49049,0,0,0,0.127397,0,0,-2.71436e-07,-3.28739e-07,-3.84953e-07,5.16472e-09,-7.48898e-07,-8.72102e-07,4.50441e-05,3.64292e-07,-2.00859e-07,2.50043e-07,0.00152877,-0.00417703,-0.00370148,0.111362,-0.00135977,-0.00157506,-0.00182472,-0.00101386,0.000719489,0.00122343,0.00191379,0.000789637,0.000343867,-0.000253142,-0.000971989,-6.39771e-06,-0.000542369,-0.000484893,0.00179514,-0.00110239
44,0.936574,0,0,0,0,0,0,0,0,0,0,0,1.29492,-0.254374,0,0,0,1.00685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1.61701,0,0,0,-0.919763,-1.34352,0,0,0,1.13775,0.440683,0,0,0,0,0,0,0,1.34912,-6.35034e-06,-0.000398844,-0.000590369,3.79076e-06,6.2478e-06,0.000695427,-5.92546e-06,-1.27387e-05,5.34262e-06,5.20897e-06,0.0201186,1.61202,0.029537,-0.0286436,-0.029228,-0.948805,-1.36087,0.0256942,0.0187261,0.0237236,-0.00243816,-0.00316644,0.00689582,-0.0119165,-0.0355485,0.0173811,-0.0345339,0.018656,-0.0605236,0.0115798
46,-0.939578,0,0,0,0,0,-0.833836,0,1.57895,1.06515,0,0,0,-1.20071,0,0,0,0,0,0,-2.89179e-06,-6.57982e-06,-0.000362679,-5.32262e-06,-4.2498e-06,2.89717e-06,6.03592e-06,1.44317e-06,6.79563e-07,0.000454983,-0.0199958,0.0130804,-0.0208961,0.0290203,-0.0138231,-0.0304877,-0.827433,0.00264696,0.00267233,1.05994,0.00954222,-0.0151788,0.0176176,-0.0089752,0.00549274,-0.0250474,0.00668406,0.00196885,0.00648635,-0.00946736
47,1.70659,0,0.0618861,0.225033,0,0,0.809343,0,-0.878387,0,0,0,0,-1.36678,0,0,1.61049,0,-1.72743,-1.33505,4.48784e-06,-4.42378e-06,0.000354024,-3.88789e-06,1.64429e-05,8.3239e-06,8.13716e-05,-0.000718599,1.68548e-06,3.34774e-07,0.0173339,0.0394955,0.020632,0.178085,0.0210648,-0.0214981,0.812442,0.00844725,-0.00495894,0.00203672,-0.00754468,-0.0268164,0.00951372,-0.00489265,0.01182,-0.018427,-0.0170628,-0.0194627,-1.72764,-0.00777645
48,0,0,-0.572164,1.12568,0,0,0,0,0.458713,0,0,0,0,0,0,0,-0.552934,0,-1.38423,0.668961,-7.06015e-06,-9.54784e-06,3.90866e-07,-3.63593e-06,-0.000241788,-4.31546e-07,0.000454405,-0.000572857,-2.2967e-07,6.29492e-06,0.0341258,-0.00247731,-0.619084,1.12124,-0.0348497,-0.0452018,0.00155006,-0.00210054,0.0114225,0.030776,0.00587741,-0.0203246,0.0245107,0.00570611,-0.00100094,-0.0176917,-0.0258451,-0.0198268,-1.36983,-0.0160988
49,0,0,0,0,0,0,1.70842,0,0,0,0,0,0,-0.447664,-0.858511,1.56551,0,0,0,-1.36025,1.8926e-05,1.01682e-05,0.000748309,0.000656905,-1.13409e-05,7.07637e-06,-6.80022e-06,2.84941e-06,-3.12635e-06,-3.18755e-06,0.00925491,0.033328,-0.0530266,-0.0326966,0.0901151,0.0468123,1.72037,-0.0140941,0.0268954,-0.0146206,0.0075137,-0.0451045,-0.0115616,-0.00490498,0.0273067,1.57977,0.00844034,-0.0107792,0.0137956,0.0133705
50,0,0,0,0,0,0,0,-1.19408,0,-1.17291,-0.268635,0,0,0,-0.316879,-0.94734,0,0,0,0,-1.25783e-05,1.86254e-06,2.13227e-06,-0.000395266,4.95315e-06,-6.50945e-06,-8.01818e-07,3.85268e-07,-0.000487126,-0.000495467,-0.000753616,-0.0300927,0.0223165,-0.00329636,-0.0608782,0.00917467,0.0098704,-1.19114,-0.00916238,-1.14064,-0.0154141,0.0341252,-0.010553,-0.000781679,-0.035235,-0.945943,0.00502885,0.0215662,0.00235653,-0.0117069
51,0,0,0,0,0,0,0,0,0,0,1.62666,-0.0983854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
